location_name,map_id,reporting_year,antibiotic_pathogen_combo,sum_isolates,overall_prev,prop_2.5,prop_97.5,world_region
ARGENTINA,ARG,2006,Aminoglycosides & E. coli,69,2.876913256,2.45604302,3.29091045,Americas
ARGENTINA,ARG,2006,Aminopenicillins & E. coli,69,3.041308299,2.631066892,3.447436672,Americas
ARGENTINA,ARG,2006,Aminopenicillins with beta-lactamase inhibitors & E. coli,69,0.0,2.49e-05,0.000948158,Americas
ARGENTINA,ARG,2006,Third generation cephalosporins & E. coli,69,0.0,3.82e-05,0.000954986,Americas
ARGENTINA,ARG,2007,Aminoglycosides & E. coli,137,14.94660673,8.046434956,22.46661619,Americas
ARGENTINA,ARG,2007,Aminopenicillins & E. coli,137,10.3881411,6.260016363,15.84203454,Americas
ARGENTINA,ARG,2007,Aminopenicillins with beta-lactamase inhibitors & E. coli,137,0.0,0.003051251,0.025942067,Americas
ARGENTINA,ARG,2007,Fluoroquinolones & E. coli,274,1.966198851,0.799263074,3.283521656,Americas
ARGENTINA,ARG,2007,Fluoroquinolones & Non-typhoidal Salmonella,118,19.08909669,19.08101912,19.08908716,Americas
ARGENTINA,ARG,2007,Third generation cephalosporins & E. coli,137,0.0,0.003049008,0.02607596,Americas
ARGENTINA,ARG,2009,Aminoglycosides & E. coli,56,10.78701549,4.087244904,17.33316471,Americas
ARGENTINA,ARG,2009,Aminopenicillins & E. coli,56,10.78701549,4.114731749,17.5551341,Americas
ARGENTINA,ARG,2009,Fluoroquinolones & E. coli,56,0.0,0.000357649,0.019547068,Americas
ARGENTINA,ARG,2012,Aminoglycosides & E. coli,40,1.849444236,1.259178863,2.447661882,Americas
ARGENTINA,ARG,2012,Aminopenicillins & E. coli,128,1.572027601,1.24674721,1.880940965,Americas
ARGENTINA,ARG,2012,Aminopenicillins with beta-lactamase inhibitors & E. coli,40,0.205493804,0.013789215,0.470667802,Americas
ARGENTINA,ARG,2012,Fluoroquinolones & E. coli,80,0.410987608,0.09993633,0.704127688,Americas
ARGENTINA,ARG,2013,Aminoglycosides & E. coli,19,0.0,0.000820724,0.033890158,Americas
ARGENTINA,ARG,2013,Aminopenicillins & E. coli,19,0.0,0.000877291,0.034303914,Americas
ARGENTINA,ARG,2013,Fluoroquinolones & E. coli,57,0.0,0.006044992,0.028540041,Americas
ARGENTINA,ARG,2013,Macrolides & S. aureus,96,2.311503319,0.165254481,4.752253777,Americas
ARGENTINA,ARG,2013,Third generation cephalosporins & E. coli,38,0.0,0.004225583,0.030211881,Americas
ARGENTINA,ARG,2014,Aminoglycosides & E. coli,90,9.913968797,4.321000035,15.50023009,Americas
ARGENTINA,ARG,2014,Aminopenicillins & E. coli,90,7.890156804,2.780558992,12.83778422,Americas
ARGENTINA,ARG,2014,Aminopenicillins with beta-lactamase inhibitors & E. coli,90,0.780876455,0.212976787,1.383115209,Americas
ARGENTINA,ARG,2014,Third generation cephalosporins & E. coli,180,0.0,0.003183172,0.017723327,Americas
ARGENTINA,ARG,2015,Fluoroquinolones & Non-typhoidal Salmonella,12,0.0,0.000204122,0.010370059,Americas
ARGENTINA,ARG,2016,Fluoroquinolones & Non-typhoidal Salmonella,50,0.0,0.000165252,0.005127672,Americas
AUSTRALIA,AUS,2004,Aminoglycosides & E. coli,645,0.100293037,0.028586757,0.193113177,Oceania
AUSTRALIA,AUS,2004,Aminopenicillins & E. coli,645,7.492242374,6.417394573,8.588630077,Oceania
AUSTRALIA,AUS,2004,Fluoroquinolones & E. coli,1290,0.069758331,0.032431136,0.193133335,Oceania
AUSTRALIA,AUS,2004,Third generation cephalosporins & E. coli,645,0.0,0.004347572,0.017705236,Oceania
AUSTRIA,AUT,2016,Aminoglycosides & E. coli,170,0.472762343,0.118860056,0.827776316,Europe
AUSTRIA,AUT,2016,Aminopenicillins & E. coli,170,4.412448533,3.519875115,5.281257997,Europe
AUSTRIA,AUT,2016,Fluoroquinolones & E. coli,340,6.303497904,5.532824291,7.066967997,Europe
AUSTRIA,AUT,2016,Fluoroquinolones & Non-typhoidal Salmonella,261,5.953303576,5.170543509,6.761297735,Europe
AUSTRIA,AUT,2016,Third generation cephalosporins & E. coli,340,0.078793724,0.024978235,0.212240575,Europe
AUSTRIA,AUT,2017,Aminoglycosides & E. coli,361,0.86199105,0.27520321,1.860362284,Europe
AUSTRIA,AUT,2017,Aminopenicillins & E. coli,361,11.4971357,8.364204198,14.72015785,Europe
AUSTRIA,AUT,2017,Fluoroquinolones & E. coli,361,3.35676274,1.400807431,5.258425013,Europe
AUSTRIA,AUT,2017,Third generation cephalosporins & E. coli,361,1.150301827,0.335234317,2.270397187,Europe
AUSTRIA,AUT,2018,Aminoglycosides & E. coli,174,0.538876617,0.167255413,0.908531006,Europe
AUSTRIA,AUT,2018,Aminopenicillins & E. coli,174,4.464977682,3.576816858,5.349117002,Europe
AUSTRIA,AUT,2018,Fluoroquinolones & E. coli,348,7.159360766,6.391043578,7.905565688,Europe
AUSTRIA,AUT,2018,Fluoroquinolones & Non-typhoidal Salmonella,265,8.542428999,7.867089528,9.259595426,Europe
AUSTRIA,AUT,2018,Third generation cephalosporins & E. coli,174,0.0,8.1e-05,0.001956035,Europe
AUSTRIA,AUT,2019,Aminoglycosides & E. coli,174,0.791283135,0.061397824,1.529105067,Europe
AUSTRIA,AUT,2019,Aminopenicillins & E. coli,174,8.308472919,6.214844738,10.40535397,Europe
AUSTRIA,AUT,2020,Aminoglycosides & E. coli,170,0.472762343,0.120715325,0.830131741,Europe
AUSTRIA,AUT,2020,Aminopenicillins & E. coli,170,4.648829704,3.74181557,5.567575409,Europe
AUSTRIA,AUT,2020,Fluoroquinolones & Non-typhoidal Salmonella,257,8.756220824,7.998653987,9.505847425,Europe
BANGLADESH,BGD,2005,Aminoglycosides & E. coli,17,15.69633063,10.4867959,20.90698042,Asia
BANGLADESH,BGD,2005,Aminopenicillins & E. coli,17,21.25041685,17.66231071,23.99314724,Asia
BANGLADESH,BGD,2005,Fluoroquinolones & E. coli,17,12.79854651,7.365743105,18.16506315,Asia
BANGLADESH,BGD,2006,Aminoglycosides & E. coli,50,18.35263273,15.66419656,21.0603993,Asia
BANGLADESH,BGD,2006,Aminopenicillins & E. coli,50,14.00595656,10.91186285,17.15899157,Asia
BANGLADESH,BGD,2006,Fluoroquinolones & E. coli,50,19.80152479,17.38428005,22.21790113,Asia
BANGLADESH,BGD,2006,Third generation cephalosporins & E. coli,50,16.42077666,13.46028886,19.34022207,Asia
BANGLADESH,BGD,2007,Aminoglycosides & E. coli,30,12.79854651,8.72350769,16.78289473,Asia
BANGLADESH,BGD,2007,Fluoroquinolones & E. coli,30,7.24446029,3.506925758,10.96308329,Asia
BANGLADESH,BGD,2009,Aminoglycosides & E. coli,274,10.12990591,8.691428318,11.55410349,Asia
BANGLADESH,BGD,2009,Aminopenicillins & E. coli,274,3.440677977,2.546947377,4.341778828,Asia
BANGLADESH,BGD,2009,Fluoroquinolones & E. coli,274,1.803183182,0.924864658,2.627473585,Asia
BANGLADESH,BGD,2010,Fluoroquinolones & Non-typhoidal Salmonella,729,6.899959206,6.018179835,7.798184322,Asia
BANGLADESH,BGD,2011,Aminoglycosides & E. coli,40,81.40588526,77.93414838,84.88062516,Asia
BANGLADESH,BGD,2011,Aminopenicillins & E. coli,10,75.85179903,75.80606929,75.85051169,Asia
BANGLADESH,BGD,2011,Fluoroquinolones & E. coli,10,0.0,0.00153889,0.045951898,Asia
BANGLADESH,BGD,2012,Aminoglycosides & E. coli,36,16.66225867,10.94934105,22.53004829,Asia
BANGLADESH,BGD,2012,Aminopenicillins & E. coli,36,30.38670469,18.61029845,41.75127485,Asia
BANGLADESH,BGD,2012,Aminopenicillins with beta-lactamase inhibitors & E. coli,23,0.0,0.001078277,0.030269761,Asia
BANGLADESH,BGD,2012,Fluoroquinolones & E. coli,36,5.554086222,0.409474318,10.80315436,Asia
BANGLADESH,BGD,2012,Fluoroquinolones & Non-typhoidal Salmonella,8,21.25041685,16.00820955,23.90809314,Asia
BANGLADESH,BGD,2012,Fluoroquinolones & S. aureus,17,18.20443177,3.604925457,32.37272061,Asia
BANGLADESH,BGD,2012,Third generation cephalosporins & E. coli,23,0.0,0.000959953,0.030316869,Asia
BANGLADESH,BGD,2013,Aminoglycosides & E. coli,15,0.0,0.000295989,0.011969411,Asia
BANGLADESH,BGD,2013,Aminopenicillins & E. coli,15,0.0,0.000447597,0.011841407,Asia
BANGLADESH,BGD,2013,Fluoroquinolones & E. coli,15,0.0,0.000282732,0.011865658,Asia
BANGLADESH,BGD,2013,Fluoroquinolones & Non-typhoidal Salmonella,15,0.0,0.000361695,0.011914805,Asia
BANGLADESH,BGD,2013,Fluoroquinolones & S. aureus,12,12.89480584,0.448955592,28.41329402,Asia
BANGLADESH,BGD,2013,Macrolides & S. aureus,12,56.88884928,39.55787667,74.47371393,Asia
BANGLADESH,BGD,2013,Third generation cephalosporins & E. coli,15,0.0,0.000264049,0.011862694,Asia
BANGLADESH,BGD,2014,Fluoroquinolones & S. aureus,12,0.0,0.000974719,0.041952892,Asia
BANGLADESH,BGD,2014,Macrolides & S. aureus,12,19.60028978,13.46941288,22.93176485,Asia
BANGLADESH,BGD,2015,Aminoglycosides & E. coli,60,54.8764118,30.73866649,71.94743266,Asia
BANGLADESH,BGD,2015,Aminopenicillins & E. coli,60,57.39616389,31.8837937,78.71614228,Asia
BANGLADESH,BGD,2015,Fluoroquinolones & E. coli,57,12.55110794,2.288902444,31.71441,Asia
BANGLADESH,BGD,2015,Fluoroquinolones & Non-typhoidal Salmonella,18,1.448892058,0.087489257,3.969943451,Asia
BANGLADESH,BGD,2015,Third generation cephalosporins & E. coli,7,0.0,0.001896796,0.054813991,Asia
BANGLADESH,BGD,2016,Aminoglycosides & E. coli,11,6.826661913,0.5074123,19.13467872,Asia
BANGLADESH,BGD,2016,Aminopenicillins & E. coli,11,41.71848947,21.1185836,62.70167309,Asia
BANGLADESH,BGD,2016,Fluoroquinolones & E. coli,65,8.517035981,1.770507565,20.86923373,Asia
BANGLADESH,BGD,2016,Third generation cephalosporins & E. coli,11,20.47998574,1.301708516,39.15393063,Asia
BELGIUM,BEL,2016,Aminoglycosides & E. coli,663,2.610196456,1.442291688,3.921778041,Europe
BELGIUM,BEL,2016,Aminopenicillins & E. coli,663,50.48375309,46.2461887,54.3832867,Europe
BELGIUM,BEL,2016,Fluoroquinolones & E. coli,1989,19.70510689,17.98624949,21.40939289,Europe
BELGIUM,BEL,2016,Fluoroquinolones & Non-typhoidal Salmonella,511,15.59025698,12.73057395,18.66432381,Europe
BELGIUM,BEL,2016,Third generation cephalosporins & E. coli,1989,0.360799375,0.268195965,0.700518602,Europe
BELGIUM,BEL,2017,Aminoglycosides & E. coli,641,4.090151002,2.606172822,5.745763231,Europe
BELGIUM,BEL,2017,Aminopenicillins & E. coli,641,54.37267435,50.36723007,58.56740317,Europe
BELGIUM,BEL,2017,Fluoroquinolones & E. coli,1923,23.70472652,21.83229423,25.63040299,Europe
BELGIUM,BEL,2017,Fluoroquinolones & Non-typhoidal Salmonella,296,11.79056122,9.023456497,14.73027084,Europe
BELGIUM,BEL,2017,Third generation cephalosporins & E. coli,1923,8.46383189,6.999106229,9.818058366,Europe
BELGIUM,BEL,2018,Aminoglycosides & E. coli,146,2.654955308,1.475586718,3.808971045,Europe
BELGIUM,BEL,2018,Aminopenicillins & E. coli,146,20.40996893,19.0771511,21.7695051,Europe
BELGIUM,BEL,2018,Fluoroquinolones & E. coli,292,14.43631949,12.91432991,15.97706405,Europe
BELGIUM,BEL,2018,Fluoroquinolones & Non-typhoidal Salmonella,204,8.906789407,7.406981316,10.49017642,Europe
BELGIUM,BEL,2018,Third generation cephalosporins & E. coli,292,3.650563548,2.56425513,4.747435809,Europe
BELGIUM,BEL,2019,Aminoglycosides & E. coli,516,3.468149172,1.973540237,5.220359662,Europe
BELGIUM,BEL,2019,Aminopenicillins & E. coli,516,58.13161964,53.59647455,62.60929575,Europe
BELGIUM,BEL,2019,Fluoroquinolones & Non-typhoidal Salmonella,103,1.206172744,0.072537907,2.506219516,Europe
BELGIUM,BEL,2020,Aminoglycosides & E. coli,503,3.874402526,2.028364968,5.65723393,Europe
BELGIUM,BEL,2020,Aminopenicillins & E. coli,503,61.11857986,56.39498822,65.88054633,Europe
BELGIUM,BEL,2020,Fluoroquinolones & Non-typhoidal Salmonella,232,7.936256491,6.558593911,9.340492095,Europe
BHUTAN,BTN,2007,Fluoroquinolones & Non-typhoidal Salmonella,52,0.249972144,0.014833431,0.707554269,Asia
BOLIVIA (PLURINATIONAL STATE OF),BOL,2009,Aminoglycosides & E. coli,21,32.02335279,25.71245795,38.40232406,Americas
BOLIVIA (PLURINATIONAL STATE OF),BOL,2009,Aminopenicillins & E. coli,21,34.00010297,28.46441512,39.21725132,Americas
BOLIVIA (PLURINATIONAL STATE OF),BOL,2009,Fluoroquinolones & E. coli,21,17.00005148,9.130358802,24.88161153,Americas
BOLIVIA (PLURINATIONAL STATE OF),BOL,2009,Third generation cephalosporins & E. coli,21,1.976750172,0.150799871,5.495992954,Americas
BOTSWANA,BWA,2003,Aminoglycosides & E. coli,15,0.967640789,0.120411695,5.750839951,Africa
BOTSWANA,BWA,2003,Aminopenicillins & E. coli,15,0.0,0.00127149,0.047651498,Africa
BOTSWANA,BWA,2009,Fluoroquinolones & Non-typhoidal Salmonella,54,0.0,0.002160319,0.042040859,Africa
BRAZIL,BRA,2000,Aminoglycosides & E. coli,9,0.0,0.001251511,0.04615194,Americas
BRAZIL,BRA,2000,Aminopenicillins & E. coli,9,24.03675089,2.359122906,45.51078491,Americas
BRAZIL,BRA,2000,Third generation cephalosporins & E. coli,9,0.0,0.001184464,0.046666432,Americas
BRAZIL,BRA,2003,Aminoglycosides & E. coli,175,9.656322435,5.692609338,13.29131573,Americas
BRAZIL,BRA,2003,Aminopenicillins & E. coli,175,10.68855001,6.943099538,14.65271497,Americas
BRAZIL,BRA,2003,Aminopenicillins with beta-lactamase inhibitors & E. coli,56,0.0,0.000558867,0.018724183,Americas
BRAZIL,BRA,2003,Fluoroquinolones & E. coli,71,0.0,0.00035554,0.016603688,Americas
BRAZIL,BRA,2003,Macrolides & S. aureus,33,4.370318343,0.265335834,10.0515155,Americas
BRAZIL,BRA,2003,Third generation cephalosporins & E. coli,104,0.0,0.00232829,0.017488765,Americas
BRAZIL,BRA,2004,Fluoroquinolones & Non-typhoidal Salmonella,19,1.103068181,0.108899738,3.179312869,Americas
BRAZIL,BRA,2005,Aminoglycosides & E. coli,445,25.92400821,22.86280516,28.76582964,Americas
BRAZIL,BRA,2005,Aminopenicillins & E. coli,445,36.1296018,32.91834115,39.20043908,Americas
BRAZIL,BRA,2005,Aminopenicillins with beta-lactamase inhibitors & E. coli,376,5.805781948,3.817039861,7.803012902,Americas
BRAZIL,BRA,2005,Fluoroquinolones & E. coli,878,10.26211805,8.442898101,12.21149055,Americas
BRAZIL,BRA,2005,Fluoroquinolones & Non-typhoidal Salmonella,98,0.108244841,0.008373934,0.238655734,Americas
BRAZIL,BRA,2005,Fluoroquinolones & S. aureus,90,0.0,0.00279414,0.018894854,Americas
BRAZIL,BRA,2005,Macrolides & S. aureus,90,4.386504708,0.94096554,8.292162869,Americas
BRAZIL,BRA,2005,Third generation cephalosporins & E. coli,382,6.885348839,4.596080853,9.194152471,Americas
BRAZIL,BRA,2006,Fluoroquinolones & Non-typhoidal Salmonella,475,0.485933119,0.213018965,0.767700405,Americas
BRAZIL,BRA,2006,Fluoroquinolones & S. aureus,83,4.668693491,1.123760472,9.016015058,Americas
BRAZIL,BRA,2006,Macrolides & S. aureus,84,27.09770798,19.70055286,35.13310313,Americas
BRAZIL,BRA,2007,Aminoglycosides & E. coli,553,15.63037278,11.95268916,18.96647767,Americas
BRAZIL,BRA,2007,Aminopenicillins & E. coli,223,20.47242241,14.47758165,26.49748056,Americas
BRAZIL,BRA,2007,Aminopenicillins with beta-lactamase inhibitors & E. coli,216,7.548293634,4.043163903,11.53586509,Americas
BRAZIL,BRA,2007,Fluoroquinolones & E. coli,1106,13.67500296,11.5749207,16.21189061,Americas
BRAZIL,BRA,2007,Third generation cephalosporins & E. coli,546,3.901631899,2.075320457,5.618081848,Americas
BRAZIL,BRA,2008,Fluoroquinolones & Non-typhoidal Salmonella,53,0.0,0.000211287,0.001701975,Americas
BRAZIL,BRA,2008,Macrolides & S. aureus,9,3.416998211,0.842280789,5.014685667,Americas
BRAZIL,BRA,2009,Aminoglycosides & E. coli,120,32.77738758,26.64437474,38.8242974,Americas
BRAZIL,BRA,2009,Aminopenicillins & E. coli,17,35.99085695,20.02652659,52.94144001,Americas
BRAZIL,BRA,2009,Fluoroquinolones & E. coli,16,27.67868284,11.49297097,44.44609061,Americas
BRAZIL,BRA,2010,Aminoglycosides & E. coli,275,10.69715697,6.268362402,16.68058507,Americas
BRAZIL,BRA,2010,Aminopenicillins & E. coli,275,31.86396678,25.47509984,38.33425644,Americas
BRAZIL,BRA,2010,Aminopenicillins with beta-lactamase inhibitors & E. coli,113,24.44080508,18.44202495,31.89150269,Americas
BRAZIL,BRA,2010,Fluoroquinolones & E. coli,256,14.75234406,10.12547262,20.15110925,Americas
BRAZIL,BRA,2010,Fluoroquinolones & Non-typhoidal Salmonella,96,0.0,0.008025221,0.050449969,Americas
BRAZIL,BRA,2010,Fluoroquinolones & S. aureus,56,0.0,0.000595562,0.018760973,Americas
BRAZIL,BRA,2010,Macrolides & S. aureus,139,1.739743034,0.13861589,3.474571978,Americas
BRAZIL,BRA,2010,Third generation cephalosporins & E. coli,113,3.750431814,0.229447817,7.405317595,Americas
BRAZIL,BRA,2011,Aminoglycosides & E. coli,140,6.310272776,3.137157571,10.14941656,Americas
BRAZIL,BRA,2011,Aminopenicillins & E. coli,158,46.3366127,40.09894749,52.04684626,Americas
BRAZIL,BRA,2011,Aminopenicillins with beta-lactamase inhibitors & E. coli,158,11.42887431,8.249323949,15.0028979,Americas
BRAZIL,BRA,2011,Fluoroquinolones & E. coli,158,21.30961506,18.26681875,24.36519736,Americas
BRAZIL,BRA,2011,Fluoroquinolones & Non-typhoidal Salmonella,180,0.041957425,0.006899604,0.11867947,Americas
BRAZIL,BRA,2011,Fluoroquinolones & S. aureus,31,0.661840908,0.050241084,1.951754325,Americas
BRAZIL,BRA,2011,Third generation cephalosporins & E. coli,158,22.06136361,22.06017597,22.075789,Americas
BRAZIL,BRA,2012,Aminoglycosides & E. coli,390,20.89537912,9.769741086,32.05852652,Americas
BRAZIL,BRA,2012,Aminopenicillins & E. coli,178,15.99629558,11.90106146,22.94461127,Americas
BRAZIL,BRA,2012,Aminopenicillins with beta-lactamase inhibitors & E. coli,349,5.170829638,4.432630794,5.857333711,Americas
BRAZIL,BRA,2012,Fluoroquinolones & E. coli,1170,15.61860615,15.09769437,16.06164402,Americas
BRAZIL,BRA,2012,Fluoroquinolones & S. aureus,137,6.42787698,3.758982911,9.134322448,Americas
BRAZIL,BRA,2012,Macrolides & S. aureus,191,12.2681624,9.299699619,15.62740947,Americas
BRAZIL,BRA,2012,Third generation cephalosporins & E. coli,371,16.30988731,10.17796732,24.67976654,Americas
BRAZIL,BRA,2013,Aminoglycosides & E. coli,762,8.632262385,7.06378428,10.28807375,Americas
BRAZIL,BRA,2013,Aminopenicillins & E. coli,759,18.47861168,16.69692899,20.22436939,Americas
BRAZIL,BRA,2013,Aminopenicillins with beta-lactamase inhibitors & E. coli,121,5.074113631,3.524051748,6.654631593,Americas
BRAZIL,BRA,2013,Fluoroquinolones & E. coli,248,8.322827337,6.763428634,9.793308578,Americas
BRAZIL,BRA,2013,Fluoroquinolones & Non-typhoidal Salmonella,128,0.0,0.000617985,0.004601716,Americas
BRAZIL,BRA,2013,Fluoroquinolones & S. aureus,35,50.25866095,39.94505583,60.76218004,Americas
BRAZIL,BRA,2013,Macrolides & S. aureus,139,44.960829,38.74759347,51.20618357,Americas
BRAZIL,BRA,2013,Third generation cephalosporins & E. coli,1518,1.154068154,0.473126312,1.830312087,Americas
BRAZIL,BRA,2014,Aminoglycosides & E. coli,280,73.19491879,52.41426461,90.31585618,Americas
BRAZIL,BRA,2014,Aminopenicillins & E. coli,134,74.82763802,74.38793267,75.20789558,Americas
BRAZIL,BRA,2014,Aminopenicillins with beta-lactamase inhibitors & E. coli,96,49.41816078,26.47718203,72.59563671,Americas
BRAZIL,BRA,2014,Fluoroquinolones & E. coli,816,7.8680885,6.810684679,8.910893912,Americas
BRAZIL,BRA,2014,Fluoroquinolones & Non-typhoidal Salmonella,16,0.0,0.001250426,0.034782635,Americas
BRAZIL,BRA,2014,Fluoroquinolones & S. aureus,31,2.185159172,0.229173473,6.400348781,Americas
BRAZIL,BRA,2014,Macrolides & S. aureus,39,13.26036762,4.443491653,22.15853631,Americas
BRAZIL,BRA,2014,Third generation cephalosporins & E. coli,354,67.61515948,50.57178514,81.409363,Americas
BRAZIL,BRA,2015,Aminoglycosides & E. coli,979,6.456610728,5.878066589,7.038852413,Americas
BRAZIL,BRA,2015,Aminopenicillins & E. coli,979,19.11676874,18.65800048,19.56457997,Americas
BRAZIL,BRA,2015,Aminopenicillins with beta-lactamase inhibitors & E. coli,20,2.206136361,0.082260579,5.001740486,Americas
BRAZIL,BRA,2015,Fluoroquinolones & E. coli,2937,19.75584971,19.50898506,20.01348868,Americas
BRAZIL,BRA,2015,Fluoroquinolones & Non-typhoidal Salmonella,7,0.0,0.00182955,0.052766952,Americas
BRAZIL,BRA,2015,Fluoroquinolones & S. aureus,38,17.48127337,8.137968146,26.73126862,Americas
BRAZIL,BRA,2015,Macrolides & S. aureus,38,23.3083645,13.14668969,33.59878828,Americas
BRAZIL,BRA,2015,Third generation cephalosporins & E. coli,40,3.309204542,0.853211469,5.988790552,Americas
BRAZIL,BRA,2016,Aminoglycosides & E. coli,47,13.89865908,6.833508928,20.96917499,Americas
BRAZIL,BRA,2016,Aminopenicillins & E. coli,39,13.11095503,4.786563167,21.44068567,Americas
BRAZIL,BRA,2016,Aminopenicillins with beta-lactamase inhibitors & E. coli,47,13.21584098,5.511264895,22.34893026,Americas
BRAZIL,BRA,2016,Fluoroquinolones & E. coli,117,0.0,0.003975775,0.018326051,Americas
BRAZIL,BRA,2016,Fluoroquinolones & S. aureus,311,0.667492351,0.044461535,1.399829726,Americas
BRAZIL,BRA,2016,Macrolides & S. aureus,285,0.0,0.000195011,0.008235104,Americas
BRAZIL,BRA,2016,Third generation cephalosporins & E. coli,94,22.06136361,22.05382295,22.07576048,Americas
BRAZIL,BRA,2017,Aminoglycosides & E. coli,68,1.631999145,1.088398358,2.170593975,Americas
BRAZIL,BRA,2017,Aminopenicillins with beta-lactamase inhibitors & E. coli,68,0.61199968,0.232497984,0.994075533,Americas
BULGARIA,BGR,2016,Aminoglycosides & E. coli,111,8.820366956,5.516846398,12.14458143,Europe
BULGARIA,BGR,2016,Aminopenicillins & E. coli,111,37.48655956,33.79637903,41.18491901,Europe
BULGARIA,BGR,2016,Fluoroquinolones & E. coli,111,42.33776139,39.35828088,45.30252361,Europe
BULGARIA,BGR,2016,Fluoroquinolones & Non-typhoidal Salmonella,14,41.95974566,31.94822625,46.87569403,Europe
BULGARIA,BGR,2016,Third generation cephalosporins & E. coli,111,1.764073391,0.159798296,3.3778783,Europe
BULGARIA,BGR,2017,Aminoglycosides & E. coli,101,0.208136541,0.015638509,0.59933428,Europe
BULGARIA,BGR,2017,Aminopenicillins & E. coli,101,13.11260208,11.21967638,15.01376804,Europe
BULGARIA,BGR,2017,Fluoroquinolones & E. coli,101,3.330184655,1.89732138,4.760171216,Europe
BULGARIA,BGR,2017,Fluoroquinolones & Non-typhoidal Salmonella,6,0.0,0.000373167,0.016341967,Europe
BULGARIA,BGR,2017,Third generation cephalosporins & E. coli,101,0.0,0.000122157,0.004032303,Europe
BULGARIA,BGR,2018,Aminoglycosides & E. coli,100,6.853425124,3.670455293,10.04511757,Europe
BULGARIA,BGR,2018,Aminopenicillins & E. coli,100,26.92417013,22.37780369,31.40303014,Europe
BULGARIA,BGR,2018,Fluoroquinolones & E. coli,100,39.16242928,35.5380065,42.77146116,Europe
BULGARIA,BGR,2018,Fluoroquinolones & Non-typhoidal Salmonella,47,13.54020161,8.171325885,19.49369239,Europe
BULGARIA,BGR,2018,Third generation cephalosporins & E. coli,100,2.44765183,0.467299681,4.390599804,Europe
BULGARIA,BGR,2019,Aminoglycosides & E. coli,104,0.202132602,0.018385595,0.581324768,Europe
BULGARIA,BGR,2019,Aminopenicillins & E. coli,104,12.53222134,10.63246518,14.4322674,Europe
BULGARIA,BGR,2020,Aminoglycosides & E. coli,100,7.832485856,4.529589402,11.16840942,Europe
BULGARIA,BGR,2020,Aminopenicillins & E. coli,100,29.37182196,25.01324337,33.89082666,Europe
BULGARIA,BGR,2020,Fluoroquinolones & Non-typhoidal Salmonella,29,16.88035745,11.0947927,22.61052519,Europe
