,country,year,commodity,area_harvested_hectares_thousands,area_harvested_nan_units,biodiesel_production_from_commodity_litres_millions,biodiesel_production_from_commodity_nan_units,biofuel_use_tonnes_thousands,biofuel_use_nan_units,consumption_litres_millions,consumption_tonnes_thousands,consumption_nan_units,cow_inventory_number_thousands,crush_tonnes_thousands,direct_ghg_emission_tonnes_of_co2_equivalent_millions,direct_ghg_emission_nan_units,ending_stocks_litres_millions,ending_stocks_tonnes_thousands,ending_stocks_nan_units,ethanol_production_from_commodity_litres_millions,ethanol_production_from_commodity_nan_units,exports_litres_millions,exports_tonnes_thousands,exports_nan_units,feed_tonnes_thousands,feed_nan_units,food_fat_availability_g_person_day_units,food_fat_availability_nan_units,food_protein_availability_g_person_day_units,food_protein_availability_nan_units,food_tonnes_thousands,food_nan_units,human_consumption_per_capita_kilograms_per_capita_units,human_consumption_per_capita_nan_units,imports_litres_millions,imports_tonnes_thousands,imports_nan_units,other_use_tonnes_thousands,other_use_nan_units,producer_price_national_currency_per_hectolitre_units,producer_price_national_currency_per_tonne_units,producer_price_nan_units,production_litres_millions,production_tonnes_thousands,production_nan_units,total_calorie_availability_kcal_person_day_units,total_calorie_availability_nan_units,trade_balance_litres_millions,trade_balance_tonnes_thousands,trade_balance_nan_units,world_price_us_dollar_per_hectolitre_units,world_price_us_dollar_per_tonne_units,world_price_us_dollars_per_barrel_units,world_price_nan_units,yield_tonnes_per_animal_units,yield_tonnes_per_hectare_units
12067,Malaysia,2016,Fish meal,,,,0.0,0.0,,,56.125,,,,0.0,,,0.0,,,0.0,,43.269,,56.125,,0.0,,0.0,,0.0,,0.0,,,13.394,,0.0,,,6226.603,,,86.0,,0.0,,,29.875,,,,,,,
8131,India,2016,Fish meal,,,,0.0,0.0,,,121.871,,,,0.0,,,35.0,,,0.0,,31.408,,121.871,,0.0,,0.0,,0.0,,0.0,,,25.379,,0.0,,,105740.165,,,152.9,,0.0,,,0.0,,,,,,,
22946,WORLD,2017,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,93237.805,,0.0,,,0.0,,,1795.922,,,,
3783,Chile,2018,Fish from aquaculture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,5290735.157,,,1266.054,,0.0,,,0.0,,,,,,,
87,AFRICA,2012,Casein,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,
9570,Israel,2015,Maize,4.3,,,0.0,0.0,,,1241.0,,,,0.029,,,300.0,,0.0,,,0.0,,1181.0,,0.21,,1.207,,40.0,,5.014,,,1152.0,,20.0,,,719.145,,,89.0,,107.667,,,-1152.0,,,,,,,20.698
7108,Ethiopia,2015,Fresh dairy products,,,,0.0,0.0,,,3220.013,,,,16.123,,,0.0,,,0.0,,0.0,,0.0,,3.256,,3.478,,3220.013,,31.933,,,0.0,,0.0,,,8573.262,,,3220.013,,61.367,,,0.0,,,,,,,
2969,Canada,2010,Maize,1235.1,,,0.0,2765.596,,,12129.836,,,,1.924,,,1262.8,,1121.283,,,1614.164,,7166.036,,0.383,,2.533,,1729.348,,50.643,,,1232.7,,13.8,,,236.0,,,12043.3,,117.0,,,381.4643,,,,,,,9.751
19791,Thailand,2012,Sheepmeat,,,,0.0,0.0,,,2.982,,,,0.11,,,0.0,,,0.0,,0.01,,,0.0,0.0,,0.0,,2.982,,0.039,,,1.459,,0.0,,,180484.844,,,1.533,,0.0,,,-1.449,,,,,,,
1938,Australia,2021,Fish from aquaculture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,15408.323,,,84.49,,0.0,,,0.0,,,,,,,
23095,WORLD,2020,Soybean,127834.55,,0.0,,0.0,,,363963.356,,,327649.161,36.24,,,36611.213,,0.0,,,167472.529,,3636.66,,0.674,,1.718,,18868.342,,2.434,,,166468.984,,13809.201,,,0.0,,,363345.273,,14.15,,,1003.5454,,,489.667,,,,2.842
14053,Nigeria,2016,Soybean,750.0,,0.0,,0.0,,,770.0,,,395.0,0.094,,,5.0,,0.0,,,10.0,,0.0,,0.435,,0.8,,367.5,,1.976,,,20.0,,7.5,,,103965.995,,,760.0,,7.6,,,-10.0,,,,,,,1.013
21781,United States,2013,Fish,,,,0.0,0.0,,,8244.081,,,881.14,0.0,,,0.0,,,0.0,,2117.409,,0.0,,1.367,,5.07,,6728.906,,18.715,,,4874.188,,634.036,,,3489.469,,,5525.18,,34.333,,,-2756.7791,,,,,,,
4543,Colombia,2012,Sugar beet,1.364,,0.0,,0.0,,,0.0,,,,0.001,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,34.35,,0.0,,,0.0,,,,,,,0.0
15775,Pakistan,2010,Soybean,8.0,,0.0,,0.0,,,309.0,,,308.1,0.0,,,30.0,,0.0,,,0.0,,0.0,,0.029,,0.066,,0.81,,0.005,,,300.0,,0.09,,,51975.95,,,9.0,,0.728,,,-299.9999,,,,,,,1.125
3611,Chile,2014,Butter,,,,0.0,0.0,,,23.731,,,,0.099,,,0.0,,,0.0,,3.637,,,0.0,2.863,,0.033,,23.731,,1.336,,,5.494,,0.0,,,2349916.547,,,21.874,,25.333,,,-1.857,,,,,,,
20143,Thailand,2021,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,1550.0,,0.0,,,0.0,,,,,,,
14135,Nigeria,2018,Soybean,750.0,,0.0,,0.0,,,765.0,,,636.0,0.117,,,20.0,,0.0,,,10.0,,0.0,,0.436,,0.799,,122.55,,0.626,,,120.0,,6.45,,,134921.569,,,670.0,,7.6,,,-110.0,,,,,,,0.893
8897,Iran,2011,Agricultural sector,,,,,,,,,,,,,33.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14943,OCEANIA,2014,Molasses,,,0.0,,0.0,,,958.451,,,,0.0,,,206.646,,31.945,,,292.321,,481.943,,0.0,,0.0,,0.0,,0.0,,,132.276,,0.0,,,0.0,,,1118.485,,0.0,,,160.0444,,,,,,,
6804,Egypt,2019,White sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,331.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,100.0,,0.0,,,7157.882,,,0.0,,0.0,,,231.0,,,,,,,
16142,Pakistan,2019,Sheepmeat,,,,0.0,0.0,,,726.267,,,,22.343,,,0.0,,,0.0,,5.788,,,0.0,1.058,,1.113,,726.267,,2.951,,,0.001,,0.0,,,540122.238,,,732.054,,14.211,,,5.787,,,,,,,
18381,Saudi Arabia,2014,Fish meal,,,,0.0,0.0,,,9.21,,,,0.0,,,0.0,,,0.0,,0.0,,9.21,,0.0,,0.0,,0.0,,0.0,,,9.21,,0.0,,,6408.753,,,0.0,,0.0,,,0.0,,,,,,,
14031,Nigeria,2016,Ethanol,,,,,,,188.572,,,,,,,0.0,,,,,0.114,,,,,,,,,,,,,174.15,,,,,0.0,,,14.535,,,,,-174.0365,,,,,,,,
14694,Norway,2020,High fructose corn syrup,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,18.0,,,0.0,,,,,,,
8292,India,2020,Fish,,,,0.0,0.0,,,11461.84,,,580.613,0.0,,,0.0,,,0.0,,1130.53,,0.0,,0.467,,2.248,,10531.227,,6.716,,,88.17,,350.0,,,355009.748,,,12504.2,,13.231,,,1042.3604,,,,,,,
19528,Switzerland,2018,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,1.553,,0.0,,,0.0,,,,,,,
20199,Turkey,2010,Raw sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,938.512,,,0.0,,0.0,,,0.0,,,,,,,
22797,WORLD,2013,Sugar cane,25376.452,,0.0,,327488.207,,,0.0,,,,23.976,,,0.0,,26273.444,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,1777085.05,,0.0,,,0.0,,,0.0,,,,70.029
12886,NORTH AMERICA,2012,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,
5428,DEVELOPING COUNTRIES,2010,High fructose corn syrup,,,0.0,,0.0,,,4557.071,,,,0.0,,,0.012,,0.0,,,208.749,,0.0,,0.004,,0.003,,4557.071,,0.822,,,1382.809,,0.0,,,0.0,,,3383.011,,6.228,,,-1174.0636,,,,,,,
770,ASIA,2016,Sugar,,,0.0,,0.0,,,81801.0,,,,0.0,,,37536.001,,0.0,,,16005.005,,0.0,,0.002,,15.961,,81801.0,,18.382,,,34305.669,,0.0,,,0.0,,,59404.336,,163.34,,,-18300.6642,,,,,,,
9764,Israel,2020,Cheese,,,,0.0,0.0,,,159.941,,,,0.079,,,0.0,,,0.0,,1.12,,,0.0,11.377,,7.844,,159.941,,18.478,,,15.23,,0.0,,,15209.376,,,145.831,,136.344,,,-14.11,,,,,,,
21935,United States,2017,Agricultural sector,,,,,,,,,,,,,353.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471,Mexico,2014,Distiller's dry grains,,,0.0,,0.0,,,1493.297,,,,0.0,,,0.0,,0.0,,,0.135,,1493.297,,0.0,,0.0,,,0.0,,0.0,,1493.432,,0.0,,,2069.533,,,0.0,,0.0,,,-1493.2971,,,,,,,
1850,Australia,2019,Casein,,,,0.0,0.0,,,0.009,,,,0.001,,,0.0,,,0.0,,0.074,,0.0,,0.0,,0.0,,0.009,,0.0,,,0.0,,0.0,,,8357.455,,,0.096,,0.0,,,-2.0337,,,,,,,
7309,Ethiopia,2020,Fish from aquaculture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.6,,0.0,,,0.0,,,,,,,
17332,Philippines,2012,Skim milk powder,,,,0.0,0.0,,,105.794,,,,0.0,,,0.0,,,0.0,,0.117,,0.001,,0.03,,1.204,,105.794,,1.088,,,105.911,,0.0,,,150242.447,,,0.0,,12.445,,,-105.794,,,,,,,
22138,United States,2021,White sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,29.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,688.018,,0.0,,,920.365,,,0.0,,0.0,,,-659.0184,,,,,,,
2056,BRICS,2012,Cheese,,,,0.0,0.0,,,1968.818,,,,7.985,,,0.0,,,0.0,,28.494,,,0.0,0.414,,0.215,,1968.818,,0.646,,,476.505,,0.0,,,0.0,,,1517.807,,5.619,,,-448.0106,,,,,,,
12841,NORTH AMERICA,2011,EGGS,,,,0.0,,0.0,,,4945.767,,,,2.869,,,16.178,,0.0,,,959.887,,0.0,,3.717,,4.057,,4945.767,,14.289,,,27.433,,0.0,,,0.0,,,5878.905,,52.468,,,932.4544,,,,,,
104,AFRICA,2012,PULSES,,24651.837,,0.0,,0.0,,16064.553,,,,0.862,,,3095.611,,,0.0,,846.121,,1232.336,,0.56,,7.215,,11988.772,,11.068,,,1123.853,,2843.449,,,0.0,,,16797.879,,109.246,,,-277.7337,,,,,,,0.681
14790,OCEANIA,2010,Skim milk powder,,,,0.0,0.0,,,73.39,,,,3.243,,,0.0,,,0.0,,555.182,,0.001,,0.028,,1.464,,73.39,,2.036,,,10.272,,0.0,,,0.0,,,626.3,,13.452,,,544.9099,,,,,,,
12355,Mexico,2011,Fish oil,,,,0.0,0.0,,,-11.803,,,,0.0,,,3.0,,,0.0,,27.013,,0.0,,0.0,,0.0,,0.0,,0.0,,,1.375,,0.0,,,19407.819,,,12.935,,0.0,,,25.638,,,,,,,
4117,China,2014,Maize,42977.0,,,0.0,17346.197,,,226908.0,,,,56.958,,,175942.0,,7032.842,,,12.0,,137000.0,,0.183,,1.193,,13800.0,,9.861,,,5516.0,,42243.203,,,2196.8,,,249764.0,,55.0,,,-5504.0,,,,,,,5.812
9384,Israel,2010,Vegetable oils,,,0.0,,0.0,,,116.602,,,,0.0,,,0.001,,0.0,,,0.61,,0.0,,71.83,,0.087,,102.361,,13.933,,,37.608,,14.241,,,5320.374,,,79.604,,635.667,,,-36.998,,,,,,,
18201,Russian Federation,2021,Whey powder,,,,0.0,0.0,,,2.04,,,,0.003,,,0.0,,,0.0,,43.909,,0.0,,0.0,,0.0,,0.0,,0.0,,,45.28,,2.04,,,71998.272,,,0.669,,0.0,,,-1.3705,,,,,,,
13636,New Zealand,2018,Poultry meat,,,,0.0,0.0,,,,213.546,,,0.082,,,0.0,,,0.0,,,22.616,,0.0,7.271,,9.161,,213.546,,39.619,,,0.834,,0.0,,,2444.656,,,235.327,,104.981,,,21.7817,,,,,,,
7982,India,2012,Rice,42754.0,,0.0,,0.0,,,94383.374,,,,135.665,,,25000.0,,0.0,,,10857.674,,440.0,,1.56,,13.247,,86973.374,,68.711,,,1.048,,6970.0,,,27993.106,,,105240.0,,705.0,,,10856.626,,,,,,,2.462
17304,Philippines,2012,Biodiesel,,,,,,,137.0,,,,,,,0.0,,,,,0.001,,,,,,,,,,,,,0.001,,,,,0.0,,,137.0,,,,,0.0,,,,,,,,
2115,BRICS,2013,Poultry meat,,,,0.0,0.0,,,,35343.523,,,22.692,,,37.657,,,0.0,,,4486.048,,0.0,3.716,,3.787,,35343.523,,10.125,,,1559.083,,0.0,,,0.0,,,38263.488,,49.527,,,2926.965,,,,,,,
17529,Philippines,2017,PULSES,,80.118,,0.0,,0.0,,145.055,,,,0.014,,,1.0,,,0.0,,0.18,,0.0,,0.063,,0.842,,140.972,,1.34,,,71.386,,4.083,,,11597.924,,,73.849,,12.681,,,-71.206,,,,,,,0.922
1858,Australia,2019,Fish meal,,,,0.0,0.0,,,33.442,,,,0.0,,,0.0,,,0.0,,0.362,,33.442,,0.0,,0.0,,0.0,,0.0,,,28.304,,0.0,,,2081.279,,,5.5,,0.0,,,0.0,,,,,,,
20929,Ukraine,2016,Molasses,,,0.0,,108.603,,,834.904,,,,0.0,,,687.0,,26.661,,,59.025,,726.3,,0.0,,0.0,,0.0,,0.0,,,5.324,,0.001,,,3450.8,,,888.604,,0.0,,,53.7008,,,,,,,
22436,Viet Nam,2017,Ethanol,,,,,,,130.208,,,,,,,0.0,,,,,43.142,,,,,,,,,,,,,4.066,,,,,867872.545,,,169.284,,,,,39.0757,,,,,,,,
8060,India,2014,Poultry meat,,,,0.0,0.0,,,,3064.986,,,1.861,,,0.0,,,0.0,,,9.516,,0.0,0.417,,0.637,,3064.986,,2.082,,,0.351,,0.0,,,114883.949,,,3074.151,,6.333,,,9.1649,,,,,,,
4500,Colombia,2011,Soybean,23.373,,0.0,,0.0,,,485.0,,,484.5,0.009,,,0.0,,0.0,,,80.0,,0.0,,0.237,,0.5,,0.45,,0.01,,,480.0,,0.05,,,1168926.875,,,80.0,,4.667,,,-400.0,,,,,,,3.423
16550,Paraguay,2017,Raw sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,30.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,4.0,,0.0,,,1763372.753,,,0.0,,0.0,,,26.0,,,,,,,
14401,Norway,2013,Fish,,,,0.0,0.0,,,898.252,,,468.808,0.0,,,0.0,,,0.0,,2784.819,,0.0,,5.183,,15.213,,269.912,,46.761,,,221.603,,159.532,,,20944.095,,,3334.55,,111.667,,,2563.2152,,,,,,,
14046,Nigeria,2016,Poultry meat,,,,0.0,0.0,,,,240.152,,,0.164,,,0.0,,,0.0,,,0.0,,0.0,0.112,,0.34,,240.152,,1.136,,,0.552,,0.0,,,381478.695,,,239.6,,2.45,,,-0.552,,,,,,,
17587,Philippines,2018,White sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,49.0,,0.0,,,17626.181,,,0.0,,0.0,,,-48.9999,,,,,,,
14353,Norway,2012,Butter,,,,0.0,0.0,,,17.151,,,,0.053,,,0.0,,,0.0,,0.0,,,0.0,7.16,,0.077,,17.151,,3.421,,,2.052,,0.0,,,19295.473,,,15.099,,63.0,,,-2.052,,,,,,,
15281,OECD countries,2010,Sheepmeat,,,,0.0,0.0,,,2055.771,,,,76.844,,,174.384,,,0.0,,967.372,,,0.0,0.913,,0.59,,2055.771,,1.371,,,507.309,,0.0,,,0.0,,,2515.945,,10.696,,,460.063,,,,,,,
12461,Mexico,2013,Whey powder,,,,0.0,0.0,,,55.278,,,,0.17,,,0.0,,,0.0,,56.58,,0.0,,0.0,,0.0,,0.0,,0.0,,,56.58,,55.278,,,17552.183,,,55.278,,0.0,,,0.0,,,,,,,
12154,Malaysia,2018,Milk,,,,0.0,0.0,,,0.0,,103.298,,0.218,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,1863.826,,,51.927,,0.0,,,0.0,,,,,,0.503,
9431,Israel,2012,Beef and veal,,,,0.0,0.0,,,200.533,,0.0,,0.384,,,0.0,,,0.0,,0.022,,,0.0,9.57,,10.78,,200.533,,18.434,,,129.52,,0.0,,,20668.875,,,71.035,,132.333,,,-129.4983,,,,,,0.163,
12026,Malaysia,2015,Fish meal,,,,0.0,0.0,,,70.283,,,,0.0,,,0.0,,,0.0,,34.541,,70.283,,0.0,,0.0,,0.0,,0.0,,,14.824,,0.0,,,6084.764,,,90.0,,0.0,,,19.717,,,,,,,
15348,OECD countries,2012,Fish oil,,,,0.0,0.0,,,795.291,,,,0.0,,,104.2,,,0.0,,396.189,,0.0,,0.0,,0.0,,0.0,,0.0,,,727.298,,0.0,,,0.0,,,476.082,,0.0,,,-59.54,,,,,,,
22156,Viet Nam,2010,High fructose corn syrup,,,0.0,,0.0,,,14.425,,,,0.0,,,0.0,,0.0,,,0.021,,0.0,,0.0,,0.0,,14.425,,0.164,,,14.446,,0.0,,,0.0,,,0.0,,2.333,,,-14.4249,,,,,,,
21502,United Kingdom,2018,Milk,,,,0.0,0.0,,,0.0,,1885.465,,6.508,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,284.231,,,15459.046,,0.0,,,0.0,,,,,,8.199,
19435,Switzerland,2016,Beef and veal,,,,0.0,0.0,,,172.38,,120.802,,1.802,,,0.0,,,0.0,,3.054,,,0.0,2.863,,6.707,,172.38,,14.4,,,31.84,,0.0,,,8835.793,,,143.594,,53.879,,,-28.7861,,,,,,0.092,
21798,United States,2013,Raw sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,1756.0,,0.0,,,508.441,,,0.0,,0.0,,,-1755.0,,,,,,,
494,ASIA,2010,Biodiesel,,,,,,,2052.515,,,,,,,0.0,,,,,687.321,,,,,,,,,,,,,0.041,,,,,0.0,,,2739.794,,,,,687.2792,,,,,,,,
13630,New Zealand,2018,Milk,,,,0.0,0.0,,,0.0,,5010.334,,14.374,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,537.776,,,21371.0,,0.0,,,0.0,,,,,,4.265,
16167,Pakistan,2020,Fish meal,,,,0.0,0.0,,,39.104,,,,0.0,,,0.0,,,0.0,,23.6,,39.104,,0.0,,0.0,,0.0,,0.0,,,0.004,,0.0,,,185229.705,,,62.7,,0.0,,,0.0,,,,,,,
20086,Thailand,2019,Wheat,1.0,,0.0,,4.397,,,3356.021,,,,0.0,,,1800.0,,1.651,,,15.979,,2197.131,,0.481,,4.136,,1134.519,,16.295,,,3471.0,,19.974,,,7725.563,,,1.0,,137.899,,,-3455.0209,,,,,,,1.0
7874,India,2010,Biodiesel,,,,,,,131.0,,,,,,,0.0,,,,,0.001,,,,,,,,,,,,,0.001,,,,,4291.322,,,131.0,,,,,0.0,,,,,,,,
2862,Brazil,2019,Sugar beet,0.0,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,0.0
18866,South Africa,2014,Cheese,,,,0.0,0.0,,,90.21,,,,0.175,,,0.0,,,0.0,,8.316,,,0.0,1.101,,0.541,,90.21,,1.654,,,9.737,,0.0,,,49474.087,,,88.789,,13.574,,,-1.421,,,,,,,
7894,India,2010,PULSES,,26529.8,,0.0,,0.0,,19310.486,,,,2.999,,,1.001,,,0.0,,229.68,,1579.904,,0.983,,7.083,,16107.565,,13.05,,,2303.866,,1623.017,,,12438.345,,,17236.3,,119.667,,,-2074.186,,,,,,,0.65
5616,DEVELOPING COUNTRIES,2014,Whole milk powder,,,,0.0,0.0,,,4778.436,,,,17.577,,,0.0,,,0.0,,619.745,,,0.0,0.541,,0.529,,4778.436,,0.816,,,2580.505,,0.0,,,0.0,,,2818.36,,9.727,,,-1960.7601,,,,,,,
