,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd
405,SK,2019,53.86,,130.53,,85.7,,90.41,,25.66,,202.33,
406,SK,2020,49.99,,98.15,,89.15,,67.98,,28.86,,202.98,
407,SK,2021,36.76,,70.91,,68.48,,65.17,,29.87,,176.06,
408,UK,2011,484.0,507.0,1116.0,1112.0,944.0,960.0,612.0,622.0,46.0,52.0,1108.0,1171.0
409,UK,2012,494.0,507.0,1075.0,1130.0,916.0,969.0,593.0,627.0,48.0,59.0,1075.0,1173.0
410,UK,2013,482.0,507.0,1131.0,1231.0,966.0,1030.0,614.0,676.0,50.0,62.0,1125.0,1364.0
411,UK,2014,473.0,486.0,1158.0,1218.0,998.0,1057.0,637.0,687.0,53.0,69.0,1177.0,1284.0
412,UK,2015,488.0,492.0,1130.0,1194.0,972.0,1038.0,622.0,674.0,53.0,63.0,1144.0,1263.0
413,UK,2016,490.0,494.0,1165.0,1225.0,996.0,1039.0,636.0,686.0,53.0,63.0,1184.0,1344.0
414,UK,2017,490.0,498.0,1213.0,1235.0,1036.0,1051.0,661.0,692.0,56.0,65.0,1244.0,1413.0
415,UK,2018,490.0,491.0,1187.0,1231.0,1023.0,1029.0,664.0,683.0,56.0,63.0,1216.0,1502.0
416,UK,2019,490.0,497.0,1231.0,1268.0,1046.0,1056.0,673.0,709.0,55.0,69.0,1233.0,1467.0
417,UK,2020,,490.0,,1232.0,,1028.0,,698.0,,67.0,,1528.0
418,XK,2015,12.83,,5.05,,3.63,,2.44,,2.84,,16.5,
419,XK,2016,11.47,,5.63,,2.68,,2.34,,3.43,,15.24,
420,XK,2017,10.09,,7.02,,4.09,,2.81,,2.15,,13.55,
421,XK,2018,10.19,,6.35,,1.97,,3.53,,6.19,,10.84,
422,XK,2019,11.42,,6.5,,2.65,,3.59,,5.0,,10.49,
423,XK,2020,12.77,,7.21,,3.08,,4.53,,5.48,,10.95,
