,location,country,commodity_code,commodity,variable_code,variable,year,base_unit_code,base_unit,unit_power,unit_multiplier,reference_period_code,reference_period,value,flag_codes,flags
199275,CHE,Switzerland,DDG,Distiller's dry grains,ST,Ending stocks,2013,TONNE,Tonnes,3,Thousands,,,0.0,,
237657,CHN,China,SMP,Skim milk powder,FE,Feed,2019,TONNE,Tonnes,3,Thousands,,,0.0,,
238232,KOR,Korea,WMP,Whole milk powder,QP__BD,Biodiesel production from commodity,2018,,,0,Units,,,0.0,,
382857,OECD,OECD countries,DDG,Distiller's dry grains,NT,Trade balance,2019,TONNE,Tonnes,3,Thousands,,,3891.0488,,
70547,CHE,Switzerland,PT,Poultry meat,PP,Producer price,2021,NATCUR_TONNE,National currency per tonne,0,Units,,,3575.081,,
159363,OCD,OCEANIA,WYP,Whey powder,EX,Exports,2013,TONNE,Tonnes,3,Thousands,,,48.724,,
354112,ZAF,South Africa,WMP,Whole milk powder,OU,Other use,2014,TONNE,Tonnes,3,Thousands,,,0.0,,
50798,ARG,Argentina,SU,Sugar,QC,Consumption,2012,TONNE,Tonnes,3,Thousands,,,1671.0,,
254488,BRA,Brazil,FM,Fish meal,FO__DFS__PROT,Food Protein availability,2014,G_PERS_DAY,g/person/day,0,Units,,,0.0,,
198402,GBR,United Kingdom,DDG,Distiller's dry grains,QP__ET,Ethanol production from commodity,2016,LT,Litres,6,Millions,,,0.0,,
152845,DVD,DEVELOPED COUNTRIES,SB,Soybean,QC,Consumption,2011,TONNE,Tonnes,3,Thousands,,,72458.919,,
162146,DVG,DEVELOPING COUNTRIES,PK,Pigmeat,FO,Food,2012,TONNE,Tonnes,3,Thousands,,,73043.682,,
18312,IDN,Indonesia,OCG,Other coarse grains,OU,Other use,2010,TONNE,Tonnes,3,Thousands,,,0.001,,
208312,COL,Colombia,SU,Sugar,QP__BD,Biodiesel production from commodity,2014,LT,Litres,6,Millions,,,0.0,,
302403,IND,India,WYP,Whey powder,FO__PC,Human consumption per capita,2013,KG_HAB,Kilograms per capita,0,Units,,,0.0,,
85311,ARG,Argentina,BT,Butter,QC,Consumption,2013,TONNE,Tonnes,3,Thousands,,,33.0,,
311365,MYS,Malaysia,FHC,Fish from capture,FO,Food,2011,TONNE,Tonnes,3,Thousands,,,0.0,,
95037,KAZ,Kazakhstan,SMP,Skim milk powder,FE,Feed,2019,TONNE,Tonnes,3,Thousands,,,0.001,,
321273,PRY,Paraguay,CT,COTTON,QP__BD,Biodiesel production from commodity,2019,,,0,Units,,,0.0,,
180123,WLD,WORLD,OOS,Other oilseeds,FO,Food,2013,TONNE,Tonnes,3,Thousands,,,15467.842,,
18248,IDN,Indonesia,OCG,Other coarse grains,ST,Ending stocks,2018,TONNE,Tonnes,3,Thousands,,,0.001,,
