,location,country,commodity_code,commodity,variable_code,variable,year,base_unit_code,base_unit,unit_power,unit_multiplier,reference_period_code,reference_period,value,flag_codes,flags
45,AUS,Australia,WT,Wheat,QC,Consumption,2019,TONNE,Tonnes,3,Thousands,,,8040.461,,
46,AUS,Australia,WT,Wheat,QC,Consumption,2020,TONNE,Tonnes,3,Thousands,,,7953.961,,
47,AUS,Australia,WT,Wheat,QC,Consumption,2021,TONNE,Tonnes,3,Thousands,,,8335.187,,
48,AUS,Australia,WT,Wheat,ST,Ending stocks,2010,TONNE,Tonnes,3,Thousands,,,8970.0,,
49,AUS,Australia,WT,Wheat,ST,Ending stocks,2011,TONNE,Tonnes,3,Thousands,,,7900.0,,
402538,VNM,Viet Nam,EG,EGGS,NT,Trade balance,2020,,,0,Units,,,-1.888,,
402539,VNM,Viet Nam,EG,EGGS,NT,Trade balance,2021,,,0,Units,,,-1.888,,
402540,WLD,WORLD,EG,EGGS,NT,Trade balance,2010,,,0,Units,,,1058.0092,,
402541,WLD,WORLD,EG,EGGS,NT,Trade balance,2011,,,0,Units,,,1176.469,,
402542,WLD,WORLD,EG,EGGS,NT,Trade balance,2012,,,0,Units,,,1086.286,,
402543,WLD,WORLD,EG,EGGS,NT,Trade balance,2013,,,0,Units,,,1298.3378,,
402544,WLD,WORLD,EG,EGGS,NT,Trade balance,2014,,,0,Units,,,1257.6424,,
402545,WLD,WORLD,EG,EGGS,NT,Trade balance,2015,,,0,Units,,,1405.5725,,
402546,WLD,WORLD,EG,EGGS,NT,Trade balance,2016,,,0,Units,,,1283.4858,,
402547,WLD,WORLD,EG,EGGS,NT,Trade balance,2017,,,0,Units,,,1202.0744,,
402548,WLD,WORLD,EG,EGGS,NT,Trade balance,2018,,,0,Units,,,1097.5523,,
402549,WLD,WORLD,EG,EGGS,NT,Trade balance,2019,,,0,Units,,,945.468,,
402550,WLD,WORLD,EG,EGGS,NT,Trade balance,2020,,,0,Units,,,897.8173,,
402551,WLD,WORLD,EG,EGGS,NT,Trade balance,2021,,,0,Units,,,911.3206,,
402552,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2010,,,0,Units,,,982.419,,
402553,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2011,,,0,Units,,,1066.4501,,
402554,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2012,,,0,Units,,,954.861,,
402555,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2013,,,0,Units,,,1320.1255,,
402556,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2014,,,0,Units,,,1290.6782,,
402557,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2015,,,0,Units,,,1403.7092,,
402558,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2016,,,0,Units,,,1329.0828,,
402559,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2017,,,0,Units,,,1262.2569,,
402560,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2018,,,0,Units,,,1122.9025,,
402561,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2019,,,0,Units,,,986.4312,,
402562,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2020,,,0,Units,,,949.3912,,
402563,DVD,DEVELOPED COUNTRIES,EG,EGGS,NT,Trade balance,2021,,,0,Units,,,953.2568,,
402564,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2010,,,0,Units,,,75.5902,,
402565,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2011,,,0,Units,,,110.0189,,
402566,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2012,,,0,Units,,,131.425,,
402567,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2013,,,0,Units,,,-21.7877,,
402568,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2014,,,0,Units,,,-33.0358,,
402569,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2015,,,0,Units,,,1.8633,,
402570,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2016,,,0,Units,,,-45.5971,,
402571,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2017,,,0,Units,,,-60.1824,,
402572,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2018,,,0,Units,,,-25.3502,,
402573,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2019,,,0,Units,,,-40.9632,,
402574,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2020,,,0,Units,,,-51.5739,,
402575,DVG,DEVELOPING COUNTRIES,EG,EGGS,NT,Trade balance,2021,,,0,Units,,,-41.9361,,
402576,BRICS,BRICS,EG,EGGS,NT,Trade balance,2010,,,0,Units,,,185.919,,
402577,BRICS,BRICS,EG,EGGS,NT,Trade balance,2011,,,0,Units,,,158.4146,,
402578,BRICS,BRICS,EG,EGGS,NT,Trade balance,2012,,,0,Units,,,213.2921,,
402579,BRICS,BRICS,EG,EGGS,NT,Trade balance,2013,,,0,Units,,,157.3036,,
402580,BRICS,BRICS,EG,EGGS,NT,Trade balance,2014,,,0,Units,,,143.3469,,
402581,BRICS,BRICS,EG,EGGS,NT,Trade balance,2015,,,0,Units,,,159.7044,,
402582,BRICS,BRICS,EG,EGGS,NT,Trade balance,2016,,,0,Units,,,132.3215,,
402583,BRICS,BRICS,EG,EGGS,NT,Trade balance,2017,,,0,Units,,,153.03,,
402584,BRICS,BRICS,EG,EGGS,NT,Trade balance,2018,,,0,Units,,,152.4664,,
402585,BRICS,BRICS,EG,EGGS,NT,Trade balance,2019,,,0,Units,,,126.9009,,
402586,BRICS,BRICS,EG,EGGS,NT,Trade balance,2020,,,0,Units,,,123.3118,,
402587,BRICS,BRICS,EG,EGGS,NT,Trade balance,2021,,,0,Units,,,127.3064,,
