,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd
338,PL,2018,744.6,871.0,3228.7,3434.0,2267.6,2314.0,1944.1,1985.0,550.1,464.0,2278.9,2744.0
68,CY,2019,32.73,,70.73,,64.75,,58.66,,1.43,,124.69,
203,FR,2019,984.0,955.0,2075.0,1973.0,2461.0,2444.0,2293.0,2232.0,707.0,666.0,4982.0,4959.0
144,EU15,2018,9936.92,,27742.28,,22550.71,,20874.38,,7120.77,,36324.52,
327,NL,2018,967.0,1051.09,1616.0,1814.18,1666.0,1745.12,1679.0,1648.59,687.0,471.68,5287.0,5652.98
84,DE,2013,2057.69,2054.95,5449.07,5286.53,5821.89,5800.08,5392.14,5262.35,1168.44,1092.19,8219.05,8166.95
326,NL,2017,1066.0,1064.04,1731.0,1817.18,1787.0,1781.62,1618.0,1674.41,563.0,444.61,5522.0,5611.56
262,LT,2014,56.4,,192.7,,160.5,,118.4,,60.9,,124.5,
130,ES,2015,2466.27,2407.59,6595.2,6487.98,4881.72,4634.36,5038.63,4845.02,1437.64,891.11,7909.64,7682.69
393,SI,2018,18.65,,52.98,,36.25,,37.15,,55.39,,58.01,
11,AT,2015,244.97,240.3,744.0,771.34,559.56,536.62,484.33,435.82,124.55,93.21,683.35,678.28
19,BA,2012,93.0,,99.0,,56.0,,74.0,,41.0,,171.0,
115,EL,2011,193.0,,273.0,,185.0,,137.0,,22.0,,298.0,
332,PL,2012,1012.11,1097.36,3163.02,3386.19,1844.25,1908.56,1732.31,1723.89,405.48,325.88,2950.75,3472.41
330,NL,2021,910.0,937.52,1549.0,1624.32,1587.0,1587.27,1439.0,1507.02,606.0,528.46,4773.0,5163.43
402,SK,2016,50.71,,161.16,,98.74,,83.03,,20.86,,170.63,
250,IT,2013,590.28,588.68,1545.94,1541.25,1248.15,1270.43,1472.18,1512.86,2221.98,2319.97,1450.08,1417.8
35,BE,2018,403.35,408.25,1282.13,1248.5,1371.95,1342.27,1276.75,1266.42,275.43,272.27,1596.52,1566.09
186,FI,2013,121.5,,272.7,,271.8,,201.8,,59.9,,328.4,
384,SE,2020,122.1,129.89,348.4,338.01,232.0,222.46,214.0,201.02,109.1,107.3,362.3,367.65
20,BA,2013,97.0,,92.0,,57.0,,65.0,,41.0,,172.0,
230,IE,2013,144.33,146.51,380.63,399.54,273.42,303.87,228.46,238.47,13.57,13.92,427.21,448.76
361,RO,2019,309.0,251.0,727.2,1262.3,609.2,906.9,682.8,440.2,763.5,122.6,735.9,737.4
100,DK,2018,1243.0,1269.0,3937.0,3984.0,2321.0,2386.0,580.0,597.0,7.0,7.0,4543.0,4624.0
52,CH,2013,144.95,,246.87,,,,,,,,608.27,
290,LV,2020,34.74,,92.16,,69.35,,52.24,,2.28,,55.61,
157,EU27_2007,2013,12386.62,,32646.25,,27544.47,,24319.41,,7528.8,,40486.68,
38,BE,2021,386.34,392.34,1213.49,1112.31,1298.13,1503.81,1221.86,1294.01,296.45,178.07,1622.81,1661.62
110,EE,2017,26.0,,52.3,,63.0,,33.0,,15.9,,98.4,
50,CH,2011,157.01,,259.76,,,,,,,,652.53,
355,RO,2013,383.8,354.5,1093.2,1718.4,890.6,1081.6,1144.5,412.9,849.6,82.2,811.3,867.7
304,MK,2016,28.0,,34.0,,28.0,,29.0,,14.0,,69.0,
334,PL,2014,956.29,1008.77,3149.46,3257.72,2037.22,2019.0,1800.95,1765.5,469.41,426.24,2833.99,3225.13
408,UK,2011,484.0,507.0,1116.0,1112.0,944.0,960.0,612.0,622.0,46.0,52.0,1108.0,1171.0
328,NL,2019,1047.0,1011.22,1704.0,1791.42,1755.0,1724.5,1743.0,1655.11,666.0,473.55,5002.0,5551.02
298,ME,2018,1.5,,5.3,,1.1,,2.2,,7.0,,5.9,
27,BA,2020,95.0,,99.0,,61.0,,56.0,,38.0,,190.0,
266,LT,2018,45.1,,151.6,,122.2,,107.8,,31.4,,113.4,
31,BE,2014,460.03,464.29,1317.78,1270.94,1464.13,1512.51,1227.89,1295.69,247.45,172.1,1627.46,1623.97
40,BG,2012,58.41,,150.23,,99.32,,83.61,,29.5,,108.54,
55,CH,2016,134.46,,248.69,,,,,,,,569.94,
180,EU28,2016,12022.32,,33127.82,,27381.63,,24563.06,,8741.35,,41166.44,
219,HU,2013,273.0,286.0,675.0,683.0,529.0,513.0,525.0,483.0,309.0,160.0,689.0,762.0
22,BA,2015,97.0,,101.0,,68.0,,68.0,,45.0,,180.0,
169,EU27_2020,2016,11532.32,,31962.82,,26385.63,,23927.06,,8688.35,,39982.44,
161,EU27_2007,2017,12039.44,,34320.0,,27074.74,,24590.76,,8680.03,,42247.55,
197,FR,2013,1043.0,1084.0,3657.0,2038.0,2637.0,2615.0,2273.0,2258.0,557.0,536.0,3247.0,5032.0
389,SI,2014,20.82,,55.9,,42.51,,35.73,,62.21,,63.64,
217,HU,2011,290.0,303.0,696.0,802.0,558.0,595.0,502.0,492.0,298.0,144.0,695.0,815.0
18,BA,2011,103.0,,108.0,,73.0,,79.0,,41.0,,167.0,
356,RO,2014,378.3,343.6,1098.8,1688.0,884.2,1101.7,1088.5,427.1,780.2,83.0,805.3,868.5
312,MT,2014,4.35,,12.03,,10.59,,7.13,,2.08,,11.02,
163,EU27_2007,2019,11693.36,,31744.03,,27328.47,,24139.32,,9329.73,,42478.4,
243,IS,2015,3.9,,10.5,,8.0,,6.4,,0.7,,7.2,
222,HU,2016,255.0,269.0,624.0,666.0,556.0,602.0,518.0,554.0,283.0,200.0,668.0,732.0
41,BG,2013,55.39,,145.36,,86.44,,144.85,,50.93,,100.48,
73,CZ,2013,151.31,,345.9,,312.05,,230.53,,53.74,,451.89,
90,DE,2019,1787.9,1805.0,4851.9,4985.7,5315.2,5219.1,5118.3,4981.4,1287.8,1143.5,7673.8,7803.1
135,ES,2020,2635.25,2554.59,7534.17,7410.93,6019.72,5616.12,6070.84,5293.11,2020.81,1556.75,8484.05,8911.42
99,DK,2017,1260.0,1228.0,3971.0,3888.0,2402.0,2278.0,600.0,569.0,7.0,6.0,4582.0,4487.0
10,AT,2014,242.27,246.47,762.17,784.76,564.24,534.83,487.0,430.49,115.19,105.63,692.73,696.27
320,NL,2011,1106.0,1105.0,2011.0,1945.0,1970.0,1996.0,1829.0,1738.0,380.0,312.0,4797.0,5277.0
191,FI,2018,95.2,,246.3,,205.1,,179.2,,40.8,,273.3,
184,FI,2011,134.2,,288.4,,290.2,,196.2,,44.2,,333.5,
286,LV,2016,37.76,,92.03,,76.52,,45.69,,8.14,,75.61,
87,DE,2016,1908.36,1917.04,5189.35,5341.31,5561.16,5444.52,5465.46,5271.47,1228.51,1050.75,7998.23,8099.85
258,IT,2021,550.99,593.15,1611.34,1527.17,1328.59,1370.74,1383.03,1598.54,2127.68,2370.23,1384.06,1470.54
182,EU28,2018,11784.44,,33728.35,,27010.21,,24923.49,,9034.29,,41524.04,
3,AL,2017,11.77,,40.88,,34.22,,32.42,,16.44,,37.83,
416,UK,2019,490.0,497.0,1231.0,1268.0,1046.0,1056.0,673.0,709.0,55.0,69.0,1233.0,1467.0
206,HR,2011,126.5,,267.4,,168.8,,160.3,,120.5,,387.1,
404,SK,2018,52.8,,167.5,,104.94,,103.75,,26.89,,169.87,
255,IT,2018,556.81,587.87,1610.8,1560.97,1283.41,1295.2,1425.57,1638.94,2185.32,2237.48,1407.23,1420.67
422,XK,2019,11.42,,6.5,,2.65,,3.59,,5.0,,10.49,
411,UK,2014,473.0,486.0,1158.0,1218.0,998.0,1057.0,637.0,687.0,53.0,69.0,1177.0,1284.0
103,DK,2021,1235.0,1275.0,4032.0,4051.0,2608.0,2434.0,652.0,608.0,7.0,6.0,4608.0,4786.0
270,LU,2011,6.01,,38.07,,19.67,,15.64,,3.75,,8.05,
