,reporter,reporter_label,year,intraeu_export_total_100kg,intraeu_export_total_head,intraeu_export_total_value_in_euros,intraeu_export_live_gallusdom_gt185g_100kg,intraeu_export_live_gallusdom_gt185g_head,intraeu_export_live_gallusdom_gt185g_value_in_euros,intraeu_export_live_gallusdom_lte185g_100kg,intraeu_export_live_gallusdom_lte185g_head,intraeu_export_live_gallusdom_lte185g_value_in_euros,intraeu_import_total_100kg,intraeu_import_total_head,intraeu_import_total_value_in_euros,intraeu_import_live_gallusdom_gt185g_100kg,intraeu_import_live_gallusdom_gt185g_head,intraeu_import_live_gallusdom_gt185g_value_in_euros,intraeu_import_live_gallusdom_lte185g_100kg,intraeu_import_live_gallusdom_lte185g_head,intraeu_import_live_gallusdom_lte185g_value_in_euros,extraeu_export_total_100kg,extraeu_export_total_head,extraeu_export_total_value_in_euros,extraeu_export_live_gallusdom_gt185g_100kg,extraeu_export_live_gallusdom_gt185g_head,extraeu_export_live_gallusdom_gt185g_value_in_euros,extraeu_export_live_gallusdom_lte185g_100kg,extraeu_export_live_gallusdom_lte185g_head,extraeu_export_live_gallusdom_lte185g_value_in_euros,extraeu_import_total_100kg,extraeu_import_total_head,extraeu_import_total_value_in_euros,extraeu_import_live_gallusdom_gt185g_100kg,extraeu_import_live_gallusdom_gt185g_head,extraeu_import_live_gallusdom_gt185g_value_in_euros,extraeu_import_live_gallusdom_lte185g_100kg,extraeu_import_live_gallusdom_lte185g_head,extraeu_import_live_gallusdom_lte185g_value_in_euros,_intra_extra,world_export_total_100kg,world_export_total_head,world_export_total_value_in_euros,world_export_live_gallusdom_gt185g_100kg,world_export_live_gallusdom_gt185g_head,world_export_live_gallusdom_gt185g_value_in_euros,world_export_live_gallusdom_lte185g_100kg,world_export_live_gallusdom_lte185g_head,world_export_live_gallusdom_lte185g_value_in_euros,world_import_total_100kg,world_import_total_head,world_import_total_value_in_euros,world_import_live_gallusdom_gt185g_100kg,world_import_live_gallusdom_gt185g_head,world_import_live_gallusdom_gt185g_value_in_euros,world_import_live_gallusdom_lte185g_100kg,world_import_live_gallusdom_lte185g_head,world_import_live_gallusdom_lte185g_value_in_euros,_intra_extra_world,aspartner_partner,aspartner_partner_label,aspartner_year,aspartner_intraeu_indiv_export_live_gallusdom_gt185g_100kg,aspartner_intraeu_indiv_export_live_gallusdom_gt185g_head,aspartner_intraeu_indiv_export_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_indiv_export_live_gallusdom_lte185g_100kg,aspartner_intraeu_indiv_export_live_gallusdom_lte185g_head,aspartner_intraeu_indiv_export_live_gallusdom_lte185g_value_in_euros,aspartner_intraeu_indiv_import_live_gallusdom_gt185g_100kg,aspartner_intraeu_indiv_import_live_gallusdom_gt185g_head,aspartner_intraeu_indiv_import_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_indiv_import_live_gallusdom_lte185g_100kg,aspartner_intraeu_indiv_import_live_gallusdom_lte185g_head,aspartner_intraeu_indiv_import_live_gallusdom_lte185g_value_in_euros,aspartner_intraeu_total_export_live_gallusdom_gt185g_100kg,aspartner_intraeu_total_export_live_gallusdom_gt185g_head,aspartner_intraeu_total_export_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_total_export_live_gallusdom_lte185g_100kg,aspartner_intraeu_total_export_live_gallusdom_lte185g_head,aspartner_intraeu_total_export_live_gallusdom_lte185g_value_in_euros,aspartner_intraeu_total_import_live_gallusdom_gt185g_100kg,aspartner_intraeu_total_import_live_gallusdom_gt185g_head,aspartner_intraeu_total_import_live_gallusdom_gt185g_value_in_euros,aspartner_intraeu_total_import_live_gallusdom_lte185g_100kg,aspartner_intraeu_total_import_live_gallusdom_lte185g_head,aspartner_intraeu_total_import_live_gallusdom_lte185g_value_in_euros,aspartner__merge,_merge
10,AT,Austria,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
11,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2011,1463790387.0,0.0,245826817040.0,0.0,12299369.0,22371609.0,0.0,73338015.0,22096249.0,1714652306.0,0.0,226936669549.0,0.0,150427964.0,253041650.0,0.0,12676383.0,3923581.0,435461041.0,0.0,95891395913.0,16.0,350.0,4600.0,338.0,694664.0,685908.0,830916232.0,0.0,108510771707.0,,,,,,,both,1899251428.0,0.0,341718212953.0,16.0,12299719.0,22376209.0,338.0,74032679.0,22782157.0,2545568538.0,0.0,335447441256.0,0.0,150427964.0,253041650.0,0.0,12676383.0,3923581.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2012,1463828641.0,0.0,242821098041.0,0.0,10246988.0,22724411.0,0.0,81014763.0,22966922.0,1741506452.0,0.0,230867402231.0,0.0,157920827.0,263156478.0,0.0,14292005.0,5049625.0,438365294.0,0.0,104267454499.0,8.0,1222.0,17926.0,398.0,891294.0,1033818.0,775152134.0,0.0,110920053087.0,,,,,,,both,1902193935.0,0.0,347088552540.0,8.0,10248210.0,22742337.0,398.0,81906057.0,24000740.0,2516658586.0,0.0,341787455318.0,0.0,157920827.0,263156478.0,0.0,14292005.0,5049625.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
13,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2013,1474678005.0,0.0,247479907350.0,0.0,14353586.0,36565804.0,0.0,78700057.0,23291807.0,1729166009.0,0.0,225880008037.0,0.0,136238730.0,239130717.0,0.0,8856859.0,3087786.0,493883956.0,0.0,105475796362.0,11.0,1766.0,14891.0,675.0,1531043.0,1728037.0,815910254.0,0.0,114212870572.0,,,,,,,both,1968561961.0,0.0,352955703712.0,11.0,14355352.0,36580695.0,675.0,80231100.0,25019844.0,2545076263.0,0.0,340092878609.0,0.0,136238730.0,239130717.0,0.0,8856859.0,3087786.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
14,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2014,1933928781.92,0.0,250596427055.0,388485.14,17334948.0,43201775.0,33072.17,79650362.0,24011179.0,3963283568.81,0.0,221797652139.0,3034303.9,135396428.0,220811249.0,2948.29,7100567.0,2996531.0,500395574.2,0.0,104691279242.0,16.36,1538.0,9148.0,1293.11,2991570.0,3277810.0,820168368.29,0.0,119629164375.0,,,,,,,both,2434324356.12,0.0,355287706297.0,388501.5,17336486.0,43210923.0,34365.28,82641932.0,27288989.0,4783451937.1,0.0,341426816514.0,3034303.9,135396428.0,220811249.0,2948.29,7100567.0,2996531.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
15,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2015,1924223539.2,0.0,256514232850.0,563035.03,25124034.0,51903003.0,39500.17,95131585.0,27634858.0,2134923032.56,0.0,212584181047.0,3054689.29,136306063.0,216196186.0,4676.3,11262233.0,3677280.0,494037863.83,0.0,101257534306.0,59.8,7503.0,62682.0,2166.29,5075732.0,5368525.0,838371220.18,0.0,125985658681.0,,,,,,,both,2418261403.03,0.0,357771767156.0,563094.83,25131537.0,51965685.0,41666.46,100207317.0,33003383.0,2973294252.74,0.0,338569839728.0,3054689.29,136306063.0,216196186.0,4676.3,11262233.0,3677280.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
16,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2016,1958818327.85,,259147688364.0,689963.43,30840347.0,53566431.0,38560.66,92934328.0,26852428.0,2190243027.0,,218631537966.0,2721470.33,121423341.0,180377692.0,6544.71,15769439.0,4517386.0,492942777.88,,100609638279.0,318.39,35298.0,183490.0,1629.49,3708797.0,3469479.0,856414395.47,,124199842343.0,,,,,,,both,2451761105.73,,359757326643.0,690281.82,30875645.0,53749921.0,40190.15,96643125.0,30321907.0,3046657422.47,,342831380309.0,2721470.33,121423341.0,180377692.0,6544.71,15769439.0,4517386.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
17,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2017,2018669406.43,,275311710199.0,741141.67,39412316.0,71969739.0,45500.16,66338537.0,19077582.0,2219108900.31,,233804102701.0,2158661.61,118249425.0,165816857.0,3949.98,6139774.0,1882075.0,530886071.3,,105278694903.0,201.39,13343.0,237512.0,1022.57,2336893.0,2412034.0,880683619.55,,128781491668.0,,,,,,,both,2549555477.73,,380590405102.0,741343.06,39425659.0,72207251.0,46522.73,68675430.0,21489616.0,3099792519.86,,362585594369.0,2158661.61,118249425.0,165816857.0,3949.98,6139774.0,1882075.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
18,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2018,2007176732.39,,289299888921.0,1022982.32,45369585.0,94087293.0,44524.91,69312453.0,21405781.0,2264945807.5,,248946529739.0,2227319.85,120031840.0,164215410.0,5272.55,10053281.0,3540805.0,533040012.37,,106970148539.0,169.75,9998.0,229495.0,828.49,1978626.0,1565192.0,925954193.99,,136408594518.0,,,,,,,both,2540216744.76,,396270037460.0,1023152.07,45379583.0,94316788.0,45353.4,71291079.0,22970973.0,3190900001.49,,385355124257.0,2227319.85,120031840.0,164215410.0,5272.55,10053281.0,3540805.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
19,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2019,1982952919.55,,290341344368.0,1142350.46,52083250.0,103862897.0,28068.34,64325578.0,19962209.0,2141812333.72,,246052097408.0,2143418.19,100141142.0,148681310.0,2331.02,3545684.0,1656088.0,519840867.4,,108760838677.0,229.26,11495.0,285173.0,1054.19,2570631.0,1930744.0,890220068.55,,137012626641.0,,,,,,,both,2502793786.95,,399102183045.0,1142579.72,52094745.0,104148070.0,29122.53,66896209.0,21892953.0,3032032402.27,,383064724049.0,2143418.19,100141142.0,148681310.0,2331.02,3545684.0,1656088.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
20,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2020,1797037449.22,,241366914202.0,1167261.85,47865657.0,97709152.0,44937.38,46862200.0,18297349.0,1971491246.17,,214314100766.0,2091783.13,97492016.0,145064876.0,2064.37,1223882.0,1792057.0,610614695.33,,128306047785.0,289.42,18944.0,408676.0,298.75,745635.0,1533806.0,965560108.32,,133645512967.0,,,,,,,both,2407652144.55,,369672961987.0,1167551.27,47884601.0,98117828.0,45236.13,47607835.0,19831155.0,2937051354.49,,347959613733.0,2091783.13,97492016.0,145064876.0,2064.37,1223882.0,1792057.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
21,BE,Belgium (incl. Luxembourg 'LU' -> 1998),2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
22,BG,Bulgaria,2011,116216977.82,0.0,12604625770.0,233.6,23360.0,42840.0,13085.33,20131069.0,6474075.0,67533503.73,0.0,13899022858.0,1953.7,169000.0,779776.0,109.01,243120.0,413800.0,108448865.66,0.0,7660007805.0,52.0,3500.0,10500.0,,,,149599831.11,0.0,9507519377.0,,,,,,,both,224665843.48,0.0,20264633575.0,285.6,26860.0,53340.0,13085.33,20131069.0,6474075.0,217133334.84,0.0,23406542235.0,1953.7,169000.0,779776.0,109.01,243120.0,413800.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
23,BG,Bulgaria,2012,112916675.12,0.0,12158632412.0,,,,14071.82,21649141.0,6704826.0,70723957.06,0.0,14929948439.0,571.93,311898.0,178332.0,3.53,11760.0,8820.0,115881172.87,0.0,8611861306.0,55.0,3050.0,15190.0,18.18,40400.0,14000.0,143973440.04,0.0,10529556999.0,,,,,,,both,228797847.99,0.0,20770493718.0,55.0,3050.0,15190.0,14090.0,21689541.0,6718826.0,214697397.1,0.0,25459505438.0,571.93,311898.0,178332.0,3.53,11760.0,8820.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24,BG,Bulgaria,2013,129042059.87,0.0,13326628015.0,,,,12414.36,19101326.0,6124186.0,71924463.25,0.0,15406609685.0,2148.74,209954.0,246105.0,490.82,902190.0,603945.0,136283396.95,0.0,8945155031.0,,,,3.67,8160.0,400.0,144442351.51,0.0,10421900427.0,,,,,,,both,265325456.82,0.0,22271783046.0,,,,12418.03,19109486.0,6124586.0,216366814.76,0.0,25828510112.0,2148.74,209954.0,246105.0,490.82,902190.0,603945.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
25,BG,Bulgaria,2014,125916178.27,0.0,13764737798.0,,,,12893.98,19870807.0,6300131.0,77618095.28,0.0,16112230650.0,,,,,,,133676670.02,0.0,8278909542.0,,,,,,,160196031.34,0.0,10006098183.0,,,,,,,both,259592848.29,0.0,22043647340.0,,,,12893.98,19870807.0,6300131.0,237814126.62,0.0,26118328833.0,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26,BG,Bulgaria,2015,128322244.13,0.0,14852924612.0,314.18,24300.0,75935.0,15934.65,24171000.0,7943066.0,83157095.37,0.0,16953265622.0,,,,,,,133229595.87,0.0,8024699216.0,311.13,20104.0,77520.0,,,,167569103.74,0.0,9393535572.0,,,,,,,both,261551840.0,0.0,22877623828.0,625.31,44404.0,153455.0,15934.65,24171000.0,7943066.0,250726199.11,0.0,26346801194.0,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
27,BG,Bulgaria,2016,148059675.03,,15930885377.0,1226.4,92346.0,316259.0,15742.5,22282980.0,7573841.0,87212900.36,,17378726697.0,2885.45,140885.0,334900.0,,,,132579088.29,,8090869112.0,8.99,307.0,2162.0,,,,170038367.24,,8779925259.0,,,,,,,both,280638763.32,,24021754489.0,1235.39,92653.0,318421.0,15742.5,22282980.0,7573841.0,257251267.6,,26158651956.0,2885.45,140885.0,334900.0,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
28,BG,Bulgaria,2017,151705978.41,,17663709806.0,321.2,20000.0,65001.0,21778.7,30138620.0,10177817.0,95366489.55,,19331136238.0,,,,63.86,141908.0,427017.0,142309556.56,,10116153468.0,10.0,354.0,3540.0,6.6,14062.0,4499.0,182145002.9,,10882024727.0,,,,,,,both,294015534.97,,27779863274.0,331.2,20354.0,68541.0,21785.3,30152682.0,10182316.0,277511492.45,,30213160965.0,,,,63.86,141908.0,427017.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29,BG,Bulgaria,2018,163823757.56,,19276184604.0,240.8,17660.0,63902.0,21250.8,29298325.0,9905956.0,94901418.64,,20404766225.0,,,,,,,114311661.63,,9219739793.0,,,,17.0,36000.0,12298.0,168093773.54,,11678738311.0,,,,,,,both,278135419.19,,28495924397.0,240.8,17660.0,63902.0,21267.8,29334325.0,9918254.0,262995192.18,,32083504536.0,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
30,BG,Bulgaria,2019,166910777.31,,19815649837.0,560.4,47000.0,154586.0,18507.1,25248100.0,8772591.0,100463175.57,,21044062081.0,,,,7.17,17920.0,104475.0,141875514.84,,9973098216.0,,,,121.26,269453.0,91938.0,180637548.49,,12606247115.0,,,,,,,both,308786292.15,,29788748053.0,560.4,47000.0,154586.0,18628.36,25517553.0,8864529.0,281100724.06,,33650309196.0,,,,7.17,17920.0,104475.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31,BG,Bulgaria,2020,149885555.48,,18386436818.0,324.4,22800.0,81885.0,14258.6,19898100.0,7005940.0,100593477.35,,18736606617.0,3533.8,166495.0,264582.0,46.41,113000.0,67236.0,122613794.04,,9580438522.0,454.27,32500.0,109701.0,20.42,48386.0,17072.0,165074624.87,,11912212053.0,,,,,,,both,272499349.52,,27966875340.0,778.67,55300.0,191586.0,14279.02,19946486.0,7023012.0,265668102.22,,30648818670.0,3533.8,166495.0,264582.0,46.41,113000.0,67236.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
32,BG,Bulgaria,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
33,CY,Cyprus,2011,7561330.82,0.0,886627785.0,,,,,,,32516981.5,0.0,4303008604.0,,,,0.01,32.0,2095.0,5753724.92,0.0,419407884.0,,,,,,,20478863.94,0.0,1930845783.0,,,,,,,both,13315055.74,0.0,1306035669.0,,,,,,,52995845.44,0.0,6233854387.0,,,,0.01,32.0,2095.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
34,CY,Cyprus,2012,7018543.19,0.0,818106531.0,,,,,,,29042011.87,0.0,3920284505.0,160.0,8000.0,33834.0,13.49,32496.0,105415.0,7817935.21,0.0,535945488.0,,,,,,,18388258.93,0.0,1758133589.0,,,,,,,both,14836478.4,0.0,1354052019.0,,,,,,,47430270.8,0.0,5678418094.0,160.0,8000.0,33834.0,13.49,32496.0,105415.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
35,CY,Cyprus,2013,6765442.23,0.0,878399815.0,,,,,,,25425862.09,0.0,3343412304.0,247.6,12380.0,59822.0,88.34,212800.0,182693.0,16677678.62,0.0,642023520.0,,,,,,,16020279.83,0.0,1410600779.0,,,,,,,both,23443120.85,0.0,1520423335.0,,,,,,,41446141.92,0.0,4754013083.0,247.6,12380.0,59822.0,88.34,212800.0,182693.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
36,CY,Cyprus,2014,6447916.72,0.0,1237340473.0,,,,,,,29904524.31,0.0,3877763450.0,403.39,18000.0,81918.0,70.26,169216.0,162233.0,17968313.1,0.0,1136259304.0,,,,,,,14050513.46,0.0,2137361109.0,,,,,,,both,24416229.82,0.0,2373599777.0,,,,,,,43955037.77,0.0,6015124559.0,403.39,18000.0,81918.0,70.26,169216.0,162233.0,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
