,country,year,producer_price_eggs_hen_in_shell_lcupertonne,producer_price_eggs_hen_in_shell_slcpertonne,producer_price_meat_livewt_cattle_lcupertonne,producer_price_meat_livewt_cattle_slcpertonne,producer_price_meat_livewt_sheep_lcupertonne,producer_price_meat_livewt_sheep_slcpertonne,producer_price_milk_whole_fresh_sheep_lcupertonne,producer_price_milk_whole_fresh_sheep_slcpertonne,producer_price_wool_greasy_lcupertonne,producer_price_wool_greasy_slcpertonne,producer_price_eggs_hen_in_shell_usdpertonne,producer_price_meat_livewt_cattle_usdpertonne,producer_price_meat_livewt_chicken_lcupertonne,producer_price_meat_livewt_chicken_slcpertonne,producer_price_meat_livewt_chicken_usdpertonne,producer_price_meat_livewt_duck_lcupertonne,producer_price_meat_livewt_duck_slcpertonne,producer_price_meat_livewt_duck_usdpertonne,producer_price_meat_livewt_goat_lcupertonne,producer_price_meat_livewt_goat_slcpertonne,producer_price_meat_livewt_goat_usdpertonne,producer_price_meat_livewt_goose_lcupertonne,producer_price_meat_livewt_goose_slcpertonne,producer_price_meat_livewt_goose_usdpertonne,producer_price_meat_livewt_pig_lcupertonne,producer_price_meat_livewt_pig_slcpertonne,producer_price_meat_livewt_pig_usdpertonne,producer_price_meat_livewt_sheep_usdpertonne,producer_price_meat_livewt_turkey_lcupertonne,producer_price_meat_livewt_turkey_slcpertonne,producer_price_meat_livewt_turkey_usdpertonne,producer_price_meat_cattle_lcupertonne,producer_price_meat_cattle_slcpertonne,producer_price_meat_cattle_usdpertonne,producer_price_meat_chicken_lcupertonne,producer_price_meat_chicken_slcpertonne,producer_price_meat_chicken_usdpertonne,producer_price_meat_goat_lcupertonne,producer_price_meat_goat_slcpertonne,producer_price_meat_goat_usdpertonne,producer_price_meat_pig_lcupertonne,producer_price_meat_pig_slcpertonne,producer_price_meat_pig_usdpertonne,producer_price_meat_sheep_lcupertonne,producer_price_meat_sheep_slcpertonne,producer_price_meat_sheep_usdpertonne,producer_price_meat_turkey_lcupertonne,producer_price_meat_turkey_slcpertonne,producer_price_meat_turkey_usdpertonne,producer_price_milk_whole_fresh_cow_lcupertonne,producer_price_milk_whole_fresh_cow_slcpertonne,producer_price_milk_whole_fresh_cow_usdpertonne,producer_price_milk_whole_fresh_goat_lcupertonne,producer_price_milk_whole_fresh_goat_slcpertonne,producer_price_milk_whole_fresh_goat_usdpertonne,producer_price_milk_whole_fresh_sheep_usdpertonne,producer_price_wool_greasy_usdpertonne,producer_price_meat_camel_lcupertonne,producer_price_meat_camel_slcpertonne,producer_price_meat_camel_usdpertonne,producer_price_meat_livewt_horse_lcupertonne,producer_price_meat_livewt_horse_slcpertonne,producer_price_meat_livewt_horse_usdpertonne,producer_price_meat_livewt_rabbit_lcupertonne,producer_price_meat_livewt_rabbit_slcpertonne,producer_price_meat_livewt_rabbit_usdpertonne,producer_price_meat_horse_lcupertonne,producer_price_meat_horse_slcpertonne,producer_price_meat_horse_usdpertonne,producer_price_meat_rabbit_lcupertonne,producer_price_meat_rabbit_slcpertonne,producer_price_meat_rabbit_usdpertonne,producer_price_meat_duck_lcupertonne,producer_price_meat_duck_slcpertonne,producer_price_meat_duck_usdpertonne,producer_price_meat_goose_and_guinea_fowl_lcupertonne,producer_price_meat_goose_and_guinea_fowl_slcpertonne,producer_price_meat_goose_and_guinea_fowl_usdpertonne,producer_price_meat_livewt_ass_lcupertonne,producer_price_meat_livewt_ass_slcpertonne,producer_price_meat_livewt_ass_usdpertonne,producer_price_meat_livewt_buffalo_lcupertonne,producer_price_meat_livewt_buffalo_slcpertonne,producer_price_meat_livewt_buffalo_usdpertonne,producer_price_meat_buffalo_lcupertonne,producer_price_meat_buffalo_slcpertonne,producer_price_meat_buffalo_usdpertonne,producer_price_milk_whole_fresh_buffalo_lcupertonne,producer_price_milk_whole_fresh_buffalo_slcpertonne,producer_price_milk_whole_fresh_buffalo_usdpertonne,producer_price_eggs_other_bird_in_shell_lcupertonne,producer_price_eggs_other_bird_in_shell_slcpertonne,producer_price_eggs_other_bird_in_shell_usdpertonne,producer_price_meat_livewt_mule_lcupertonne,producer_price_meat_livewt_mule_slcpertonne,producer_price_meat_livewt_mule_usdpertonne,producer_price_meat_livewt_camel_lcupertonne,producer_price_meat_livewt_camel_slcpertonne,producer_price_meat_livewt_camel_usdpertonne,producer_price_meat_ass_lcupertonne,producer_price_meat_ass_slcpertonne,producer_price_meat_ass_usdpertonne,producer_price_meat_mule_lcupertonne,producer_price_meat_mule_slcpertonne,producer_price_meat_mule_usdpertonne,producer_price_meat_game_lcupertonne,producer_price_meat_game_slcpertonne,producer_price_meat_game_usdpertonne,producer_price_meat_livewt_poultry_other_lcupertonne,producer_price_meat_livewt_poultry_other_slcpertonne,producer_price_meat_livewt_poultry_other_usdpertonne,producer_price_milk_whole_fresh_camel_lcupertonne,producer_price_milk_whole_fresh_camel_slcpertonne,producer_price_milk_whole_fresh_camel_usdpertonne,producer_price_meat_livewt_camelids_other_lcupertonne,producer_price_meat_livewt_camelids_other_slcpertonne,producer_price_meat_livewt_camelids_other_usdpertonne,producer_price_meat_other_camelids_lcupertonne,producer_price_meat_other_camelids_slcpertonne,producer_price_meat_other_camelids_usdpertonne
14,Albania,2003,245829.4,245829.4,330350.0,330350.0,325000.0,325000.0,42100.0,42100.0,,,2017.3,2710.8,,,,,,,320000.0,320000.0,2625.9,,,,323000.0,323000.0,2650.5,2666.9,,,,609000.0,609000.0,4997.4,291000.0,291000.0,2387.9,506000.0,506000.0,4152.2,489000.0,489000.0,4012.7,550000.0,550000.0,4513.3,694000.0,694000.0,5694.9,41600.0,41600.0,341.4,32200.0,32200.0,264.2,345.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Albania,2004,227079.7,227079.7,336000.0,336000.0,330000.0,330000.0,48000.0,48000.0,,,2209.4,3269.1,,,,,,,320000.0,320000.0,3113.4,,,,320000.0,320000.0,3113.4,3210.7,,,,620000.0,620000.0,6032.3,292000.0,292000.0,2841.0,510000.0,510000.0,4962.1,489000.0,489000.0,4757.7,565000.0,565000.0,5497.2,727000.0,727000.0,7073.4,41800.0,41800.0,406.7,34000.0,34000.0,330.8,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Albania,2005,227079.7,227079.7,300000.0,300000.0,297000.0,297000.0,47000.0,47000.0,,,2273.7,3003.9,,,,,,,295000.0,295000.0,2953.8,,,,293000.0,293000.0,2933.8,2973.9,,,,554000.0,554000.0,5547.2,271000.0,271000.0,2713.5,483000.0,483000.0,4836.3,437000.0,437000.0,4375.7,550000.0,550000.0,5507.1,335000.0,335000.0,3354.4,40500.0,40500.0,405.5,34000.0,34000.0,340.4,470.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Albania,2006,216663.2,216663.2,293000.0,293000.0,290000.0,290000.0,46000.0,46000.0,,,2208.5,2986.6,,,,,,,290000.0,290000.0,2956.1,,,,280000.0,280000.0,2854.1,2956.1,,,,536000.0,536000.0,5463.6,271000.0,271000.0,2762.4,480000.0,480000.0,4892.8,400000.0,400000.0,4077.3,530000.0,530000.0,5402.5,400000.0,400000.0,4077.3,39200.0,39200.0,399.6,35000.0,35000.0,356.8,468.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Albania,2007,254162.6,254162.6,278600.0,278600.0,290000.0,290000.0,45500.0,45500.0,,,2810.7,3080.9,,,,,,,290000.0,290000.0,3207.0,,,,261000.0,261000.0,2886.3,3207.0,,,,536000.0,536000.0,5927.4,267000.0,267000.0,2952.6,480000.0,480000.0,5308.1,420000.0,420000.0,4644.6,530000.0,530000.0,5861.0,385000.0,385000.0,4257.5,38800.0,38800.0,429.1,34500.0,34500.0,381.5,503.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Albania,2008,254162.6,254162.6,288972.4,288972.4,277699.5,277699.5,44500.0,44500.0,,,3029.5,3444.5,,,,,,,277700.0,277700.0,3310.1,,,,255215.0,255215.0,3042.1,3310.1,,,,562800.0,562800.0,6708.4,267000.0,267000.0,3182.6,475000.0,475000.0,5661.9,420000.0,420000.0,5006.3,520000.0,520000.0,6198.3,370000.0,370000.0,4410.3,37050.0,37050.0,441.6,34000.0,34000.0,405.3,530.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Albania,2009,249996.0,249996.0,331316.0,331316.0,347220.0,347220.0,44850.0,44850.0,,,2632.1,3488.3,270950.0,270950.0,2852.8,,,,326000.0,326000.0,3432.4,,,,278000.0,278000.0,2927.0,3655.8,,,,670000.0,670000.0,7054.3,317000.0,317000.0,3337.6,672000.0,672000.0,7075.3,520000.0,520000.0,5474.9,665000.0,665000.0,7001.6,500000.0,500000.0,5264.4,39750.0,39750.0,418.5,45650.0,45650.0,480.6,472.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Albania,2010,249996.0,249996.0,363632.0,363632.0,359200.0,359200.0,45000.0,45000.0,,,2405.3,3498.6,274975.0,274975.0,2645.6,,,,344000.0,344000.0,3309.7,,,,289834.5,289834.5,2788.6,3456.0,,,,675000.0,675000.0,6494.4,317000.0,317000.0,3049.9,675000.0,675000.0,6494.4,523000.0,523000.0,5031.9,665000.0,665000.0,6398.1,600000.0,600000.0,5772.8,46579.0,46579.0,448.1,46000.0,46000.0,442.6,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Albania,2011,234287.9,234287.9,373802.0,373802.0,366900.0,366900.0,50200.0,50200.0,,,2322.1,3704.9,,,,,,,360200.0,360200.0,3570.0,,,,297488.0,297488.0,2948.5,3636.5,,,,764000.0,764000.0,7572.2,338000.0,338000.0,3350.0,763000.0,763000.0,7562.3,563000.0,563000.0,5580.1,742000.0,742000.0,7354.2,638000.0,638000.0,6323.4,50302.0,50302.0,498.6,49300.0,49300.0,488.6,497.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Albania,2012,234287.9,234287.9,386376.0,386376.0,365792.0,365792.0,77470.0,77470.0,,,2165.6,3571.5,342920.0,342920.0,3169.8,,,,357565.5,357565.5,3305.1,,,,297411.0,297411.0,2749.1,3381.2,,,,702502.0,702502.0,6493.5,489886.0,489886.0,4528.2,760777.0,760777.0,7032.2,600000.0,600000.0,5546.1,778200.0,778200.0,7193.3,650000.0,650000.0,6008.2,56590.0,56590.0,523.1,80155.0,80155.0,740.9,716.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Albania,2013,208330.0,208330.0,377000.0,377000.0,325000.0,325000.0,83000.0,83000.0,56000.0,56000.0,1971.5,3567.8,381000.0,381000.0,3605.6,678000.0,678000.0,6416.3,317000.0,317000.0,2999.9,793000.0,793000.0,7504.6,302000.0,302000.0,2858.0,3075.7,550000.0,550000.0,5204.9,,,,,,,,,,,,,,,,,,,47000.0,47000.0,444.8,55000.0,55000.0,520.5,785.5,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Albania,2014,331597.2,331597.2,360666.7,360666.7,285583.3,285583.3,77700.0,77700.0,51250.0,51250.0,3143.7,3419.3,453166.7,453166.7,4296.3,,,,256000.0,256000.0,2427.0,,,,329666.7,329666.7,3125.4,2707.5,624000.0,624000.0,5915.9,,,,,,,,,,,,,,,,,,,41666.7,41666.7,395.0,55500.0,55500.0,526.2,736.6,485.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Albania,2015,385655.2,385655.2,380703.5,380703.5,346365.0,346365.0,54917.0,54917.0,48500.0,48500.0,3061.7,3022.4,345848.0,345848.0,2745.7,,,,341525.0,341525.0,2711.4,,,,344754.0,344754.0,2737.0,2749.8,603000.0,603000.0,4787.2,,,,,,,,,,,,,,,,,,,52716.0,52716.0,418.5,52318.0,52318.0,415.4,436.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Albania,2016,365779.7,365779.7,379728.2,379728.2,268475.9,268475.9,80797.3,80797.3,54216.1,54216.1,2946.5,3058.8,299459.4,299459.4,2412.3,,,,260300.2,260300.2,2096.8,,,,346071.8,346071.8,2787.7,2162.7,640751.5,640751.5,5161.5,,,,,,,,,,,,,,,,,,,40778.7,40778.7,328.5,55932.5,55932.5,450.6,650.9,436.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Albania,2017,370161.7,370161.7,381073.7,381073.7,259793.6,259793.6,79274.0,79274.0,51783.9,51783.9,3108.0,3199.6,294138.0,294138.0,2469.7,,,,261067.6,261067.6,2192.0,,,,352731.3,352731.3,2961.6,2181.3,645786.6,645786.6,5422.2,,,,,,,,,,,,,,,,,,,41705.1,41705.1,350.2,54914.2,54914.2,461.1,665.6,434.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Albania,2018,362678.0,362678.0,385515.5,385515.5,272170.0,272170.0,81581.2,81581.2,50333.8,50333.8,3358.5,3569.9,305590.5,305590.5,2829.8,,,,257725.3,257725.3,2386.6,,,,359129.0,359129.0,3325.6,2520.3,602647.3,602647.3,5580.6,,,,,,,,,,,,,,,,,,,40154.0,40154.0,371.8,48997.8,48997.8,453.7,755.5,466.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Albania,2019,381174.2,381174.2,388473.5,388473.5,259769.3,259769.3,82080.2,82080.2,36217.5,36217.5,3469.9,3536.4,302658.9,302658.9,2755.2,,,,255744.5,255744.5,2328.1,,,,362278.9,362278.9,3297.9,2364.7,650326.1,650326.1,5920.1,,,,,,,,,,,,,,,,,,,41074.0,41074.0,373.9,52440.4,52440.4,477.4,747.2,329.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Albania,2020,381569.4,381569.4,393387.7,393387.7,265158.5,265158.5,92739.5,92739.5,38501.9,38501.9,3511.9,3620.7,309230.0,309230.0,2846.1,,,,258295.2,258295.2,2377.3,,,,385842.4,385842.4,3551.2,2440.5,614072.0,614072.0,5651.8,,,,,,,,,,,,,,,,,,,44093.6,44093.6,405.8,57969.0,57969.0,533.5,853.6,354.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Algeria,2000,133000.0,133000.0,,,,,,,,,1767.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Algeria,2001,90000.0,90000.0,,,,,,,,,1165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000.0,33000.0,427.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Algeria,2002,100000.0,100000.0,,,,,,,,,1255.0,,,,,,,,,,,,,,,,,,,,,410000.0,410000.0,5145.5,137000.0,137000.0,1719.3,,,,,,,448000.0,448000.0,5622.4,,,,26000.0,26000.0,326.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Algeria,2003,118000.0,118000.0,,,,,,,,,1524.6,,,,,,,,,,,,,,,,,,,,,447000.0,447000.0,5775.6,172000.0,172000.0,2222.4,,,,,,,499000.0,499000.0,6447.4,,,,27000.0,27000.0,348.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Algeria,2004,112000.0,112000.0,,,,,,,,,1554.2,,,,,,,,,,,,,,,,,,,,,540000.0,540000.0,7493.7,159000.0,159000.0,2206.5,,,,,,,616000.0,616000.0,8548.4,,,,26000.0,26000.0,360.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Algeria,2005,100000.0,100000.0,,,,,,,,,1364.7,,,,,,,,,,,,,,,,,,,,,495000.0,495000.0,6755.3,182000.0,182000.0,2483.7,,,,,,,547000.0,547000.0,7464.9,,,,28000.0,28000.0,382.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
