Commodity,Attribute,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unit Description
"Meat, Chicken",Beginning Stocks,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,India,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Japan,116,109,147,129,102,118,137,146,168,159,162,151,(1000 MT)
"Meat, Chicken",Beginning Stocks,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,"Korea, South",5,9,15,17,8,27,35,45,35,40,50,60,(1000 MT)
"Meat, Chicken",Beginning Stocks,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Oman,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Peru,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Beginning Stocks,Russia,0,0,47,53,46,61,35,30,25,13,20,25,(1000 MT)
"Meat, Chicken",Beginning Stocks,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Production,Angola,8,10,14,18,32,25,25,27,27,28,30,31,(1000 MT)
"Meat, Chicken",Production,Argentina,"1,703","1,799","2,045","2,087","2,110","2,085","2,119","2,150","2,068","2,171","2,215","2,290",(1000 MT)
"Meat, Chicken",Production,Australia,934,"1,013","1,047","1,067","1,103","1,137","1,225","1,220","1,213","1,227","1,267","1,300",(1000 MT)
"Meat, Chicken",Production,Azerbaijan,64,72,87,94,99,97,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Production,Belarus,259,297,345,375,403,435,447,478,490,505,520,500,(1000 MT)
"Meat, Chicken",Production,Benin,10,12,12,12,13,13,14,14,15,15,15,15,(1000 MT)
"Meat, Chicken",Production,Brazil,"12,230","13,060","12,650","12,310","12,946","13,547","13,523","13,612","13,355","13,690","13,880","14,500",(1000 MT)
"Meat, Chicken",Production,Canada,"1,057","1,064","1,081","1,099","1,137","1,179","1,236","1,237","1,301","1,331","1,305","1,360",(1000 MT)
"Meat, Chicken",Production,Chile,504,562,571,582,572,604,628,638,674,684,696,650,(1000 MT)
"Meat, Chicken",Production,China,"12,701","13,358","13,864","13,510","13,156","13,561","12,448","11,600","11,700","13,800","14,600","14,700",(1000 MT)
"Meat, Chicken",Production,Colombia,"1,110","1,118","1,156","1,327","1,413","1,481","1,538","1,626","1,695","1,761","1,685","1,640",(1000 MT)
"Meat, Chicken",Production,Congo (Brazzaville),6,7,7,7,7,7,7,7,7,7,7,7,(1000 MT)
"Meat, Chicken",Production,Congo (Kinshasa),11,11,11,11,11,11,10,10,10,10,10,10,(1000 MT)
"Meat, Chicken",Production,Cuba,28,30,29,27,27,28,25,24,24,23,23,23,(1000 MT)
"Meat, Chicken",Production,Dominican Republic,278,285,263,284,307,316,326,339,349,355,340,335,(1000 MT)
"Meat, Chicken",Production,Egypt,744,796,822,953,"1,035","1,028","1,007","1,303","1,324","1,332","1,350","1,360",(1000 MT)
"Meat, Chicken",Production,European Union,"9,202","9,490","9,660","10,050","10,450","10,890","10,034","10,331","10,618","10,836","11,020","10,850",(1000 MT)
"Meat, Chicken",Production,Gabon,4,4,4,4,4,4,4,4,4,4,4,4,(1000 MT)
"Meat, Chicken",Production,Ghana,37,41,46,51,55,57,57,57,59,59,59,59,(1000 MT)
"Meat, Chicken",Production,Guatemala,184,190,190,192,215,230,231,232,228,234,230,232,(1000 MT)
"Meat, Chicken",Production,Haiti,2,2,2,2,3,5,5,5,3,3,3,3,(1000 MT)
"Meat, Chicken",Production,Hong Kong,9,9,9,9,7,6,6,7,6,7,7,7,(1000 MT)
"Meat, Chicken",Production,India,"2,650","2,900","3,160","3,450","3,725","3,264",0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Production,Iraq,89,133,146,166,139,168,187,201,219,235,255,275,(1000 MT)
"Meat, Chicken",Production,Japan,"1,514","1,472","1,556","1,559","1,596","1,599","1,629","1,661","1,685","1,723","1,749","1,765",(1000 MT)
"Meat, Chicken",Production,Jordan,187,190,190,182,192,182,216,211,219,185,195,205,(1000 MT)
"Meat, Chicken",Production,Kazakhstan,102,103,123,136,134,146,179,187,192,223,235,230,(1000 MT)
"Meat, Chicken",Production,"Korea, South",653,685,696,710,792,878,899,852,915,952,962,935,(1000 MT)
"Meat, Chicken",Production,Kuwait,38,45,49,46,46,53,53,56,61,56,50,53,(1000 MT)
"Meat, Chicken",Production,Malaysia,"1,108","1,148","1,223","1,298","1,416","1,511","1,676","1,598","1,588","1,648","1,590","1,600",(1000 MT)
"Meat, Chicken",Production,Mexico,"2,822","2,906","2,958","2,907","3,025","3,175","3,275","3,400","3,485","3,600","3,725","3,815",(1000 MT)
"Meat, Chicken",Production,North Macedonia,3,2,2,2,2,2,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Production,Oman,9,41,42,42,43,92,94,111,129,129,125,120,(1000 MT)
"Meat, Chicken",Production,Peru,"1,020","1,108","1,211","1,254","1,317","1,330","1,405","1,465","1,582","1,763","1,728","1,750",(1000 MT)
"Meat, Chicken",Production,Philippines,"1,042","1,089","1,139","1,197","1,210","1,279","1,289","1,344","1,380","1,450","1,305","1,330",(1000 MT)
"Meat, Chicken",Production,Qatar,8,9,7,8,8,9,18,15,26,27,26,26,(1000 MT)
"Meat, Chicken",Production,Russia,"2,750","3,069","3,446","3,634","3,958","4,222","4,328","4,680","4,684","4,668","4,680","4,600",(1000 MT)
"Meat, Chicken",Production,Saudi Arabia,414,450,475,500,525,550,600,650,710,800,900,910,(1000 MT)
"Meat, Chicken",Imports,Angola,239,287,301,321,365,221,205,267,317,266,213,255,(1000 MT)
"Meat, Chicken",Imports,Argentina,9,10,4,3,1,1,8,6,11,5,6,10,(1000 MT)
"Meat, Chicken",Imports,Australia,5,5,7,9,11,12,12,10,10,7,2,1,(1000 MT)
"Meat, Chicken",Imports,Azerbaijan,30,39,49,39,38,17,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Imports,Belarus,8,12,18,13,30,18,19,19,9,9,22,10,(1000 MT)
"Meat, Chicken",Imports,Benin,98,104,124,114,152,124,94,81,74,67,48,65,(1000 MT)
"Meat, Chicken",Imports,Brazil,1,2,2,3,3,4,3,3,3,5,5,5,(1000 MT)
"Meat, Chicken",Imports,Canada,173,179,197,201,200,210,189,174,170,172,188,185,(1000 MT)
"Meat, Chicken",Imports,Chile,67,74,72,73,87,106,130,133,137,127,121,140,(1000 MT)
"Meat, Chicken",Imports,China,286,238,254,244,260,268,430,311,342,580,999,785,(1000 MT)
"Meat, Chicken",Imports,Colombia,36,37,40,46,48,49,75,73,86,110,94,100,(1000 MT)
"Meat, Chicken",Imports,Congo (Brazzaville),84,77,94,82,94,99,101,108,114,116,124,120,(1000 MT)
"Meat, Chicken",Imports,Congo (Kinshasa),60,68,70,64,82,83,86,94,122,130,199,200,(1000 MT)
"Meat, Chicken",Imports,Cuba,178,134,196,182,186,224,233,281,280,289,262,345,(1000 MT)
"Meat, Chicken",Imports,Dominican Republic,24,30,28,29,34,36,41,33,50,52,59,60,(1000 MT)
"Meat, Chicken",Imports,Egypt,126,73,121,89,85,79,127,222,64,61,68,40,(1000 MT)
"Meat, Chicken",Imports,European Union,687,734,727,671,712,730,787,738,733,760,663,615,(1000 MT)
"Meat, Chicken",Imports,Gabon,44,56,55,58,62,69,62,65,67,67,72,65,(1000 MT)
"Meat, Chicken",Imports,Ghana,93,138,158,172,137,130,181,211,222,259,295,340,(1000 MT)
"Meat, Chicken",Imports,Guatemala,70,75,71,83,87,109,123,125,127,132,127,150,(1000 MT)
"Meat, Chicken",Imports,Haiti,49,67,64,61,59,71,88,80,91,87,106,110,(1000 MT)
"Meat, Chicken",Imports,Hong Kong,295,410,300,272,299,312,344,291,215,293,293,245,(1000 MT)
"Meat, Chicken",Imports,India,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Imports,Iraq,522,598,610,673,698,606,563,577,529,494,468,375,(1000 MT)
"Meat, Chicken",Imports,Japan,789,895,877,854,888,936,973,"1,056","1,074","1,076","1,005","1,050",(1000 MT)
"Meat, Chicken",Imports,Jordan,30,27,44,57,77,79,63,55,57,56,54,70,(1000 MT)
"Meat, Chicken",Imports,Kazakhstan,129,159,204,175,159,161,164,170,150,177,188,160,(1000 MT)
"Meat, Chicken",Imports,"Korea, South",106,131,130,127,141,119,128,132,163,178,170,175,(1000 MT)
"Meat, Chicken",Imports,Kuwait,120,99,78,132,123,125,131,133,143,143,140,120,(1000 MT)
"Meat, Chicken",Imports,Malaysia,39,41,46,46,49,56,72,67,71,73,70,95,(1000 MT)
"Meat, Chicken",Imports,Mexico,549,578,616,682,722,790,791,804,820,875,842,930,(1000 MT)
"Meat, Chicken",Imports,North Macedonia,33,35,40,41,40,42,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Imports,Oman,78,94,119,115,111,117,113,123,119,125,115,120,(1000 MT)
"Meat, Chicken",Imports,Peru,20,16,21,23,22,26,39,47,58,55,63,85,(1000 MT)
"Meat, Chicken",Imports,Philippines,121,146,149,148,199,205,244,266,321,366,335,420,(1000 MT)
"Meat, Chicken",Imports,Qatar,66,75,88,92,98,115,125,139,119,126,125,100,(1000 MT)
"Meat, Chicken",Imports,Russia,656,463,561,512,444,250,220,225,220,224,229,230,(1000 MT)
"Meat, Chicken",Imports,Saudi Arabia,652,745,750,838,738,870,878,711,629,601,618,600,(1000 MT)
"Meat, Chicken",Total Supply,Angola,247,297,315,339,397,246,230,294,344,294,243,286,(1000 MT)
"Meat, Chicken",Total Supply,Argentina,"1,712","1,809","2,049","2,090","2,111","2,086","2,127","2,156","2,079","2,176","2,221","2,300",(1000 MT)
"Meat, Chicken",Total Supply,Australia,939,"1,018","1,054","1,076","1,114","1,149","1,237","1,230","1,223","1,234","1,269","1,301",(1000 MT)
"Meat, Chicken",Total Supply,Azerbaijan,94,111,136,133,137,114,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Total Supply,Belarus,267,309,363,388,433,453,466,497,499,514,542,510,(1000 MT)
"Meat, Chicken",Total Supply,Benin,108,116,136,126,165,137,108,95,89,82,63,80,(1000 MT)
"Meat, Chicken",Total Supply,Brazil,"12,231","13,062","12,652","12,313","12,949","13,551","13,526","13,615","13,358","13,695","13,885","14,505",(1000 MT)
"Meat, Chicken",Total Supply,Canada,"1,268","1,280","1,311","1,336","1,376","1,424","1,469","1,454","1,517","1,557","1,551","1,605",(1000 MT)
"Meat, Chicken",Total Supply,Chile,571,636,643,655,659,710,758,771,811,811,817,790,(1000 MT)
"Meat, Chicken",Total Supply,China,"12,987","13,596","14,118","13,754","13,416","13,829","12,878","11,911","12,042","14,380","15,599","15,485",(1000 MT)
"Meat, Chicken",Total Supply,Colombia,"1,146","1,155","1,196","1,373","1,461","1,530","1,613","1,699","1,781","1,871","1,779","1,740",(1000 MT)
"Meat, Chicken",Total Supply,Congo (Brazzaville),90,84,101,89,101,106,108,115,121,123,131,127,(1000 MT)
"Meat, Chicken",Total Supply,Congo (Kinshasa),71,79,81,75,93,94,96,104,132,140,209,210,(1000 MT)
"Meat, Chicken",Total Supply,Cuba,206,164,225,209,213,252,258,305,304,312,285,368,(1000 MT)
"Meat, Chicken",Total Supply,Dominican Republic,302,315,291,313,341,352,367,372,399,407,399,395,(1000 MT)
"Meat, Chicken",Total Supply,Egypt,870,869,943,"1,042","1,120","1,107","1,134","1,525","1,388","1,393","1,418","1,400",(1000 MT)
"Meat, Chicken",Total Supply,European Union,"9,889","10,224","10,387","10,721","11,162","11,620","10,821","11,069","11,351","11,596","11,683","11,465",(1000 MT)
"Meat, Chicken",Total Supply,Gabon,48,60,59,62,66,73,66,69,71,71,76,69,(1000 MT)
"Meat, Chicken",Total Supply,Ghana,130,179,204,223,192,187,238,268,281,318,354,399,(1000 MT)
"Meat, Chicken",Total Supply,Guatemala,254,265,261,275,302,339,354,357,355,366,357,382,(1000 MT)
"Meat, Chicken",Total Supply,Haiti,51,69,66,63,62,76,93,85,94,90,109,113,(1000 MT)
"Meat, Chicken",Total Supply,Hong Kong,304,419,309,281,306,318,350,298,221,300,300,252,(1000 MT)
"Meat, Chicken",Total Supply,India,"2,650","2,900","3,160","3,450","3,725","3,264",0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Total Supply,Iraq,611,731,756,839,837,774,750,778,748,729,723,650,(1000 MT)
"Meat, Chicken",Total Supply,Japan,"2,419","2,476","2,580","2,542","2,586","2,653","2,739","2,863","2,927","2,958","2,916","2,966",(1000 MT)
"Meat, Chicken",Total Supply,Jordan,217,217,234,239,269,261,279,266,276,241,249,275,(1000 MT)
"Meat, Chicken",Total Supply,Kazakhstan,231,262,327,311,293,307,343,357,342,400,423,390,(1000 MT)
"Meat, Chicken",Total Supply,"Korea, South",764,825,841,854,941,"1,024","1,062","1,029","1,113","1,170","1,182","1,170",(1000 MT)
"Meat, Chicken",Total Supply,Kuwait,158,144,127,178,169,178,184,189,204,199,190,173,(1000 MT)
"Meat, Chicken",Total Supply,Malaysia,"1,147","1,189","1,269","1,344","1,465","1,567","1,748","1,665","1,659","1,721","1,660","1,695",(1000 MT)
"Meat, Chicken",Total Supply,Mexico,"3,371","3,484","3,574","3,589","3,747","3,965","4,066","4,204","4,305","4,475","4,567","4,745",(1000 MT)
"Meat, Chicken",Total Supply,North Macedonia,36,37,42,43,42,44,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Total Supply,Oman,87,135,161,157,154,209,207,234,248,254,240,240,(1000 MT)
"Meat, Chicken",Total Supply,Peru,"1,040","1,124","1,232","1,277","1,339","1,356","1,444","1,512","1,640","1,818","1,791","1,835",(1000 MT)
"Meat, Chicken",Total Supply,Philippines,"1,163","1,235","1,288","1,345","1,409","1,484","1,533","1,610","1,701","1,816","1,640","1,750",(1000 MT)
"Meat, Chicken",Total Supply,Qatar,74,84,95,100,106,124,143,154,145,153,151,126,(1000 MT)
"Meat, Chicken",Total Supply,Russia,"3,406","3,532","4,054","4,199","4,448","4,533","4,583","4,935","4,929","4,905","4,929","4,855",(1000 MT)
"Meat, Chicken",Total Supply,Saudi Arabia,"1,066","1,195","1,225","1,338","1,263","1,420","1,478","1,361","1,339","1,401","1,518","1,510",(1000 MT)
"Meat, Chicken",Exports,Angola,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Argentina,214,224,295,334,278,187,158,178,124,155,158,150,(1000 MT)
"Meat, Chicken",Exports,Australia,19,28,31,31,38,28,29,37,34,41,36,35,(1000 MT)
"Meat, Chicken",Exports,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Belarus,38,74,105,105,113,135,145,150,168,174,190,165,(1000 MT)
"Meat, Chicken",Exports,Benin,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Brazil,"3,463","3,636","3,685","3,660","3,747","4,008","4,061","3,977","3,770","3,939","3,875","4,225",(1000 MT)
"Meat, Chicken",Exports,Canada,147,143,141,150,137,133,134,134,124,124,128,133,(1000 MT)
"Meat, Chicken",Exports,Chile,68,96,97,84,80,93,102,92,111,131,136,127,(1000 MT)
"Meat, Chicken",Exports,China,379,422,411,420,430,401,386,436,447,428,388,455,(1000 MT)
"Meat, Chicken",Exports,Colombia,5,5,1,1,1,1,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,European Union,935,"1,045","1,095","1,083","1,136","1,186","1,839","1,894","2,004","2,148","2,033","1,780",(1000 MT)
"Meat, Chicken",Exports,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Guatemala,7,8,6,7,7,6,7,7,8,8,7,6,(1000 MT)
"Meat, Chicken",Exports,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,India,2,7,4,4,6,7,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Japan,8,3,5,5,7,6,6,7,7,7,8,5,(1000 MT)
"Meat, Chicken",Exports,Jordan,21,17,19,22,18,18,15,8,13,10,9,7,(1000 MT)
"Meat, Chicken",Exports,Kazakhstan,1,0,1,1,4,5,6,3,6,10,9,25,(1000 MT)
"Meat, Chicken",Exports,"Korea, South",16,15,21,26,19,26,27,6,33,50,56,35,(1000 MT)
"Meat, Chicken",Exports,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Malaysia,9,10,10,10,9,12,12,11,18,18,18,18,(1000 MT)
"Meat, Chicken",Exports,Mexico,10,10,6,7,9,5,5,6,4,6,7,8,(1000 MT)
"Meat, Chicken",Exports,North Macedonia,0,0,0,0,1,1,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Oman,13,13,11,10,10,20,14,16,15,15,14,12,(1000 MT)
"Meat, Chicken",Exports,Peru,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Philippines,4,7,6,4,5,3,2,1,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Exports,Russia,7,28,35,52,50,71,104,125,131,173,216,215,(1000 MT)
"Meat, Chicken",Exports,Saudi Arabia,10,12,12,21,23,27,37,36,30,42,33,45,(1000 MT)
"Meat, Chicken",Domestic Consumption,Angola,247,297,315,339,397,246,230,294,344,294,243,286,(1000 MT)
"Meat, Chicken",Domestic Consumption,Argentina,"1,498","1,585","1,754","1,756","1,833","1,899","1,969","1,978","1,955","2,021","2,063","2,150",(1000 MT)
"Meat, Chicken",Domestic Consumption,Australia,920,990,"1,023","1,045","1,076","1,121","1,208","1,193","1,189","1,193","1,233","1,266",(1000 MT)
"Meat, Chicken",Domestic Consumption,Azerbaijan,94,111,136,133,137,114,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Domestic Consumption,Belarus,229,235,258,283,320,318,321,347,331,340,352,345,(1000 MT)
"Meat, Chicken",Domestic Consumption,Benin,108,116,136,126,165,137,108,95,89,82,63,80,(1000 MT)
"Meat, Chicken",Domestic Consumption,Brazil,"8,768","9,426","8,967","8,653","9,202","9,543","9,465","9,638","9,588","9,756","10,010","10,280",(1000 MT)
"Meat, Chicken",Domestic Consumption,Canada,"1,084","1,104","1,134","1,147","1,204","1,247","1,292","1,274","1,339","1,375","1,363","1,412",(1000 MT)
"Meat, Chicken",Domestic Consumption,Chile,503,540,546,571,579,617,656,679,700,680,681,663,(1000 MT)
"Meat, Chicken",Domestic Consumption,China,"12,608","13,174","13,707","13,334","12,986","13,428","12,492","11,475","11,595","13,952","15,211","15,030",(1000 MT)
"Meat, Chicken",Domestic Consumption,Colombia,"1,141","1,150","1,195","1,372","1,460","1,529","1,613","1,699","1,781","1,871","1,779","1,740",(1000 MT)
"Meat, Chicken",Domestic Consumption,Congo (Brazzaville),90,84,101,89,101,106,108,115,121,123,131,127,(1000 MT)
"Meat, Chicken",Domestic Consumption,Congo (Kinshasa),71,79,81,75,93,94,96,104,132,140,209,210,(1000 MT)
"Meat, Chicken",Domestic Consumption,Cuba,206,164,225,209,213,252,258,305,304,312,285,368,(1000 MT)
"Meat, Chicken",Domestic Consumption,Dominican Republic,302,315,291,313,341,352,367,372,399,407,399,395,(1000 MT)
"Meat, Chicken",Domestic Consumption,Egypt,870,869,943,"1,042","1,120","1,107","1,134","1,525","1,388","1,393","1,418","1,400",(1000 MT)
"Meat, Chicken",Domestic Consumption,European Union,"8,954","9,179","9,292","9,638","10,026","10,434","8,982","9,175","9,347","9,448","9,650","9,685",(1000 MT)
"Meat, Chicken",Domestic Consumption,Gabon,48,60,59,62,66,73,66,69,71,71,76,69,(1000 MT)
"Meat, Chicken",Domestic Consumption,Ghana,130,179,204,223,192,187,238,268,281,318,354,399,(1000 MT)
"Meat, Chicken",Domestic Consumption,Guatemala,247,257,255,268,295,333,347,350,347,358,350,376,(1000 MT)
"Meat, Chicken",Domestic Consumption,Haiti,51,69,66,63,62,76,93,85,94,90,109,113,(1000 MT)
"Meat, Chicken",Domestic Consumption,Hong Kong,304,419,309,281,306,318,350,298,221,300,300,252,(1000 MT)
"Meat, Chicken",Domestic Consumption,India,"2,648","2,893","3,156","3,446","3,719","3,257",0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Domestic Consumption,Iraq,611,731,756,839,837,774,750,778,748,729,723,650,(1000 MT)
"Meat, Chicken",Domestic Consumption,Japan,"2,302","2,326","2,446","2,435","2,461","2,510","2,587","2,688","2,761","2,789","2,757","2,821",(1000 MT)
"Meat, Chicken",Domestic Consumption,Jordan,196,200,215,217,251,243,264,258,263,231,240,268,(1000 MT)
"Meat, Chicken",Domestic Consumption,Kazakhstan,230,262,326,310,289,302,337,354,336,390,414,365,(1000 MT)
"Meat, Chicken",Domestic Consumption,"Korea, South",739,795,803,820,895,963,990,988,"1,040","1,070","1,066","1,065",(1000 MT)
"Meat, Chicken",Domestic Consumption,Kuwait,158,144,127,178,169,178,184,189,204,199,190,173,(1000 MT)
"Meat, Chicken",Domestic Consumption,Malaysia,"1,138","1,179","1,259","1,334","1,456","1,555","1,736","1,654","1,641","1,703","1,642","1,677",(1000 MT)
"Meat, Chicken",Domestic Consumption,Mexico,"3,361","3,474","3,568","3,582","3,738","3,960","4,061","4,198","4,301","4,469","4,560","4,737",(1000 MT)
"Meat, Chicken",Domestic Consumption,North Macedonia,36,37,42,43,41,43,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Domestic Consumption,Oman,74,122,150,147,144,189,193,218,233,239,226,228,(1000 MT)
"Meat, Chicken",Domestic Consumption,Peru,"1,040","1,124","1,232","1,277","1,339","1,356","1,444","1,512","1,640","1,818","1,791","1,835",(1000 MT)
"Meat, Chicken",Domestic Consumption,Philippines,"1,159","1,228","1,282","1,341","1,404","1,481","1,531","1,609","1,701","1,816","1,640","1,750",(1000 MT)
"Meat, Chicken",Domestic Consumption,Qatar,74,84,95,100,106,124,143,154,145,153,151,126,(1000 MT)
"Meat, Chicken",Domestic Consumption,Russia,"3,399","3,457","3,966","4,101","4,337","4,427","4,449","4,785","4,785","4,712","4,688","4,620",(1000 MT)
"Meat, Chicken",Domestic Consumption,Saudi Arabia,"1,056","1,183","1,213","1,317","1,240","1,393","1,441","1,325","1,309","1,359","1,485","1,465",(1000 MT)
"Meat, Chicken",Total Use,Angola,247,297,315,339,397,246,230,294,344,294,243,286,(1000 MT)
"Meat, Chicken",Total Use,Argentina,"1,712","1,809","2,049","2,090","2,111","2,086","2,127","2,156","2,079","2,176","2,221","2,300",(1000 MT)
"Meat, Chicken",Total Use,Australia,939,"1,018","1,054","1,076","1,114","1,149","1,237","1,230","1,223","1,234","1,269","1,301",(1000 MT)
"Meat, Chicken",Total Use,Azerbaijan,94,111,136,133,137,114,0,0,0,0,0,0,(1000 MT)
"Meat, Chicken",Total Use,Belarus,267,309,363,388,433,453,466,497,499,514,542,510,(1000 MT)
"Meat, Chicken",Total Use,Benin,108,116,136,126,165,137,108,95,89,82,63,80,(1000 MT)
"Meat, Chicken",Total Use,Brazil,"12,231","13,062","12,652","12,313","12,949","13,551","13,526","13,615","13,358","13,695","13,885","14,505",(1000 MT)
"Meat, Chicken",Total Use,Canada,"1,231","1,247","1,275","1,297","1,341","1,380","1,426","1,408","1,463","1,499","1,491","1,545",(1000 MT)
