Commodity,Attribute,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit Description
"Animal Numbers, Swine",Sow Beginning Stocks,Japan,930,902,900,900,885,855,845,839,824,853,845,823,830,(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,"Korea, South",966,920,903,962,895,937,958,"1,030","1,058","1,063","1,026","1,001","1,023",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Mexico,"1,090","1,115","1,120","1,155","1,160","1,150","1,170","1,180","1,190","1,230","1,245","1,255","1,285",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Russia,"2,130","2,150","2,290","2,325","2,400","2,583","2,750","2,900","3,070","3,290","3,400","3,500","3,460",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,Ukraine,518,518,472,488,502,488,538,430,382,379,351,359,380,(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,United Kingdom,0,0,0,0,0,0,488,491,490,490,489,494,464,(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,United States,"5,850","5,778","5,803","5,819","5,757","5,939","6,002","6,110","6,179","6,326","6,471","6,176","6,125",(1000 HEAD)
"Animal Numbers, Swine",Sow Beginning Stocks,World,"79,313","77,324","78,781","79,528","78,865","76,265","74,081","73,643","72,667","66,136","60,388","68,613","68,655",(1000 HEAD)
"Animal Numbers, Swine",Production,Australia,"4,604","4,659","4,581","4,737","5,022","4,921","5,028",0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Production,Belarus,"5,223","5,425","5,775","5,325","4,850","5,200",0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Production,Brazil,"36,970","37,750","37,700","37,900","38,470","39,050","39,635","40,230","40,954","42,250","43,525","44,515","45,150",(1000 HEAD)
"Animal Numbers, Swine",Production,Canada,"28,613","28,645","28,337","27,136","27,197","28,983","28,813","29,030","28,032","28,352","29,555","30,243","30,200",(1000 HEAD)
"Animal Numbers, Swine",Production,China,"667,000","670,250","711,000","718,000","731,500","698,000","672,500","705,000","687,500","440,000","565,000","655,000","665,000",(1000 HEAD)
"Animal Numbers, Swine",Production,European Union,"263,076","264,655","257,600","257,000","261,750","265,287","255,200","256,400","256,050","253,325","256,100","254,000","251,000",(1000 HEAD)
"Animal Numbers, Swine",Production,Japan,"17,500","17,000","17,250","17,350","17,050","16,700","16,900","16,785","16,690","16,770","17,230","17,000","17,150",(1000 HEAD)
"Animal Numbers, Swine",Production,"Korea, South","14,923","13,308","16,340","16,953","16,812","17,600","19,504","18,191","19,118","19,889","19,973","20,473","20,433",(1000 HEAD)
"Animal Numbers, Swine",Production,Mexico,"16,550","16,975","17,150","17,800","17,300","17,300","17,700","18,100","18,650","19,650","20,291","20,810","21,700",(1000 HEAD)
"Animal Numbers, Swine",Production,Russia,"29,472","30,650","34,500","36,000","37,000","39,830","42,595","45,700","49,500","52,910","55,880","57,300","56,850",(1000 HEAD)
"Animal Numbers, Swine",Production,Ukraine,"8,176","8,109","8,538","9,465","9,527","9,624","9,296","8,767","8,813","8,565","8,569","8,770","7,600",(1000 HEAD)
"Animal Numbers, Swine",Production,United Kingdom,0,0,0,0,0,0,"10,800","10,850","10,950","11,175","11,250","11,600","10,900",(1000 HEAD)
"Animal Numbers, Swine",Production,United States,"113,128","115,086","116,655","115,135","114,754","121,441","125,907","129,429","132,568","137,588","140,680","132,948","132,220",(1000 HEAD)
"Animal Numbers, Swine",Production,World,"1,205,235","1,212,512","1,255,426","1,262,801","1,281,232","1,263,936","1,243,878","1,278,482","1,268,825","1,030,474","1,168,053","1,252,659","1,258,203",(1000 HEAD)
"Animal Numbers, Swine",Imports,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Imports,Belarus,2,5,1,3,5,8,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Imports,Brazil,5,2,1,1,0,1,0,1,1,1,2,2,1,(1000 HEAD)
"Animal Numbers, Swine",Imports,Canada,3,3,2,1,3,6,3,3,3,6,6,4,3,(1000 HEAD)
"Animal Numbers, Swine",Imports,China,6,15,20,24,9,4,8,11,8,1,29,24,20,(1000 HEAD)
"Animal Numbers, Swine",Imports,European Union,2,1,2,1,1,3,19,65,17,13,19,12,15,(1000 HEAD)
"Animal Numbers, Swine",Imports,Japan,1,1,1,1,1,0,1,1,1,0,3,1,2,(1000 HEAD)
"Animal Numbers, Swine",Imports,"Korea, South",2,16,11,2,2,2,3,5,2,1,1,2,1,(1000 HEAD)
"Animal Numbers, Swine",Imports,Mexico,9,12,31,10,14,42,20,42,33,37,25,15,20,(1000 HEAD)
"Animal Numbers, Swine",Imports,Russia,783,782,340,86,8,2,8,6,8,14,21,11,5,(1000 HEAD)
"Animal Numbers, Swine",Imports,Ukraine,90,112,225,231,22,22,4,8,30,22,11,7,2,(1000 HEAD)
"Animal Numbers, Swine",Imports,United Kingdom,0,0,0,0,0,0,577,507,564,356,500,468,400,(1000 HEAD)
"Animal Numbers, Swine",Imports,United States,"5,749","5,795","5,656","4,948","4,947","5,740","5,657","5,597","5,250","5,096","5,293","6,666","6,500",(1000 HEAD)
"Animal Numbers, Swine",Imports,World,"6,652","6,744","6,290","5,308","5,012","5,830","6,300","6,246","5,917","5,547","5,910","7,212","6,969",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Australia,"6,906","6,948","6,866","6,875","7,120","7,229","7,300",0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Belarus,"9,007","9,317","9,765","9,571","8,122","8,133",0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Brazil,"72,097","74,404","76,037","76,478","77,314","78,446","79,057","79,446","79,784","80,678","81,377","81,867","80,839",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Canada,"41,081","41,263","41,109","39,882","40,035","42,169","42,446","42,968","42,205","42,333","43,531","44,277","44,313",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,China,"1,138,778","1,137,917","1,181,768","1,198,326","1,210,440","1,169,606","1,130,537","1,147,103","1,129,097","868,071","875,439","1,061,524","1,114,240",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,European Union,"415,858","417,017","407,411","403,983","407,923","413,631","399,513","399,115","401,611","396,857","399,265","399,889","392,714",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Japan,"27,501","26,769","26,986","27,036","26,588","26,140","26,214","26,132","25,971","25,926","26,323","26,291","26,226",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,"Korea, South","23,646","21,773","24,522","26,871","26,726","27,692","29,694","29,683","30,393","31,223","31,254","31,553","31,651",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Mexico,"25,538","25,994","26,457","27,320","27,089","27,130","27,763","28,371","29,093","30,387","31,366","32,325","33,495",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Russia,"47,543","48,683","52,103","54,871","56,018","59,140","63,842","67,488","72,453","76,524","80,949","83,055","83,055",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,Ukraine,"15,843","16,181","16,136","17,273","17,471","17,138","16,540","15,591","15,079","14,737","14,422","14,763","13,602",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,United Kingdom,0,0,0,0,0,0,"15,799","15,895","16,227","16,179","16,491","16,826","16,375",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,United States,"183,564","185,606","188,570","186,307","184,476","194,807","200,583","206,371","210,963","217,754","222,806","216,926","212,866",(1000 HEAD)
"Animal Numbers, Swine",Total Supply,World,"2,007,362","2,011,872","2,057,730","2,074,793","2,089,322","2,071,261","2,039,288","2,058,163","2,052,876","1,800,669","1,823,223","2,009,296","2,049,376",(1000 HEAD)
"Animal Numbers, Swine",Exports,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Exports,Belarus,54,113,103,52,0,1,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Exports,Brazil,1,6,2,4,3,4,2,5,8,9,3,2,3,(1000 HEAD)
"Animal Numbers, Swine",Exports,Canada,"5,761","5,821","5,676","4,784","4,960","5,776","5,672","5,614","5,263","5,113","5,311","6,674","6,500",(1000 HEAD)
"Animal Numbers, Swine",Exports,China,"1,721","1,563","1,643","1,684","1,737","1,696","1,551","1,567","1,580",945,718,881,865,(1000 HEAD)
"Animal Numbers, Swine",Exports,European Union,"1,012","1,010",742,569,567,436,772,829,"1,011",828,517,887,875,(1000 HEAD)
"Animal Numbers, Swine",Exports,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Exports,"Korea, South",0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Exports,Mexico,0,0,0,0,0,0,0,7,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Exports,Russia,1,0,0,0,0,2,7,6,7,7,55,44,45,(1000 HEAD)
"Animal Numbers, Swine",Exports,Ukraine,1,1,1,0,1,1,27,33,9,10,4,19,5,(1000 HEAD)
"Animal Numbers, Swine",Exports,United Kingdom,0,0,0,0,0,0,0,2,3,4,3,2,2,(1000 HEAD)
"Animal Numbers, Swine",Exports,United States,15,30,56,34,19,41,48,59,64,60,56,52,55,(1000 HEAD)
"Animal Numbers, Swine",Exports,World,"8,566","8,544","8,223","7,127","7,287","7,957","8,079","8,122","7,945","6,976","6,667","8,561","8,350",(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Brazil,90,95,150,150,150,160,160,160,160,140,140,140,140,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,China,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,European Union,"4,269","4,485","4,601","4,104","3,815","4,156","3,923","3,461","4,219","3,591","3,711","4,007","3,870",(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,"Korea, South",0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,United Kingdom,0,0,0,0,0,0,242,223,244,231,228,229,225,(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,United States,"2,992","3,052","3,033","2,953","2,807","2,872","2,905","2,971","3,032","3,028","3,341","3,131","3,040",(1000 HEAD)
"Animal Numbers, Swine",Sow Slaughter,World,"7,351","7,632","7,784","7,207","6,772","7,188","7,230","6,815","7,655","6,990","7,420","7,507","7,275",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Australia,"4,617","4,663","4,728","4,777","4,812","4,957","5,040",0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Belarus,"4,746","4,900","5,100","5,650","4,600","4,600",0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Brazil,"34,294","34,862","36,258","36,500","36,800","37,900","38,675","39,452","40,150","41,600","42,850","45,040","45,440",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Canada,"21,297","21,262","21,283","20,922","20,496","21,348","21,424","21,757","21,566","21,842","22,722","21,981","22,100",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,China,"666,864","663,621","697,895","715,575","735,100","708,250","685,020","702,021","693,820","544,190","460,000","600,000","655,000",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,European Union,"255,333","259,084","252,846","250,978","252,943","258,471","250,649","247,609","250,922","247,513","247,314","252,000","246,620",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Japan,"16,807","16,395","16,776","16,936","16,202","16,105","16,393","16,336","16,430","16,319","16,691","16,837","16,835",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,"Korea, South","14,629","10,817","14,040","16,359","15,686","15,907","16,546","16,728","17,369","17,825","18,248","18,383","18,420",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Mexico,"15,765","15,925","16,135","16,815","16,430","16,375","16,795","17,215","17,600","18,500","19,000","19,700","20,400",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Russia,"28,359","29,603","31,500","34,000","34,750","35,800","38,550","40,000","42,800","44,880","47,150","48,800","48,800",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,Ukraine,"7,121","8,137","7,941","8,672","9,175","8,944","8,997","8,642","8,310","8,345","7,952","8,278","7,400",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,United Kingdom,0,0,0,0,0,0,"10,990","10,657","10,926","11,107","11,165","11,379","11,150",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,United States,"110,260","110,860","113,163","112,076","106,876","115,426","118,220","121,316","124,435","129,913","131,563","128,976","125,410",(1000 HEAD)
"Animal Numbers, Swine",Total Slaughter,World,"1,180,092","1,180,129","1,217,665","1,239,260","1,253,870","1,244,083","1,227,299","1,241,733","1,244,328","1,102,034","1,024,655","1,171,374","1,217,575",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Australia,"2,289","2,285","2,138","2,098","2,308","2,272","2,260",0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Belarus,"3,887","3,989","4,243","3,267","2,925","3,205",0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Brazil,"36,652","38,336","38,577","38,844","39,395","39,422","39,215","38,829","38,427","37,850","37,350","35,688","34,250",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Canada,"12,615","12,770","12,745","12,835","13,180","13,630","13,935","14,170","13,975","13,970","14,030","14,110","14,225",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,China,"467,652","470,748","480,302","478,931","471,602","458,029","442,092","441,589","428,070","310,410","406,500","449,220","450,000",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,European Union,"152,361","149,809","146,982","146,172","148,341","148,716","142,650","145,544","143,519","143,146","145,877","141,699","140,000",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Japan,"9,768","9,735","9,685","9,537","9,440","9,313","9,346","9,280","9,156","9,090","9,290","9,074","9,176",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,"Korea, South","8,449","8,171","9,916","9,912","10,090","10,187","11,487","11,273","11,333","11,280","11,078","11,217","11,270",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Mexico,"9,007","9,276","9,510","9,775","9,788","10,043","10,229","10,410","10,700","11,050","11,500","11,775","12,250",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Russia,"17,251","17,263","18,785","19,010","19,308","21,239","21,782","22,945","23,600","25,048","25,744","26,200","26,200",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,Ukraine,"7,960","7,373","7,577","7,922","7,492","7,240","6,816","6,236","6,150","5,842","5,986","6,000","5,500",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,United Kingdom,0,0,0,0,0,0,"4,538","4,713","4,648","4,741","4,758","5,075","4,850",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,United States,"64,725","66,259","66,224","64,775","67,626","69,019","71,345","73,145","75,070","76,833","77,312","74,146","74,375",(1000 HEAD)
"Animal Numbers, Swine",Ending Stocks,World,"792,616","796,014","806,684","803,078","801,495","792,315","775,695","778,134","764,648","649,260","749,425","784,204","782,096",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Belarus,320,315,319,602,597,327,0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Brazil,"1,150","1,200","1,200","1,130","1,116","1,120","1,165","1,160","1,199","1,219","1,174","1,137","1,146",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Canada,"1,408","1,410","1,405","1,341","1,399","1,415","1,415","1,427","1,401","1,408","1,468","1,512","1,488",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,China,"2,541","1,985","1,928","2,136","2,001","1,631","1,874","1,926","5,627","12,526","8,221","11,423","8,375",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,European Union,"7,152","7,114","6,841","6,264","6,072","6,008","5,442","5,133","6,159","5,370","5,557","5,303","5,219",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Japan,926,639,525,563,946,722,475,516,385,517,342,380,215,(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,"Korea, South",568,"2,785",566,600,950,"1,598","1,661","1,682","1,691","2,118","1,928","1,953","1,961",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Mexico,766,793,812,730,871,712,739,739,793,837,866,850,845,(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Russia,"1,932","1,817","1,818","1,861","1,960","2,099","3,503","4,537","6,046","6,589","8,000","8,011","8,010",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,Ukraine,761,670,617,679,803,953,700,680,610,540,480,466,697,(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,United Kingdom,0,0,0,0,0,0,271,523,650,327,565,370,373,(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,United States,"8,564","8,457","9,127","9,422","9,955","10,321","10,970","11,851","11,394","10,948","13,875","13,752","13,026",(1000 HEAD)
"Animal Numbers, Swine",Loss and Residual,World,"26,088","27,185","25,158","25,328","26,670","26,906","28,215","30,174","35,955","42,399","42,476","45,157","41,355",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Australia,"6,906","6,948","6,866","6,875","7,120","7,229","7,300",0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Belarus,"9,007","9,317","9,765","9,571","8,122","8,133",0,0,0,0,0,0,0,(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Brazil,"72,097","74,404","76,037","76,478","77,314","78,446","79,057","79,446","79,784","80,678","81,377","81,867","80,839",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Canada,"41,081","41,263","41,109","39,882","40,035","42,169","42,446","42,968","42,205","42,333","43,531","44,277","44,313",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,China,"1,138,778","1,137,917","1,181,768","1,198,326","1,210,440","1,169,606","1,130,537","1,147,103","1,129,097","868,071","875,439","1,061,524","1,114,240",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,European Union,"415,858","417,017","407,411","403,983","407,923","413,631","399,513","399,115","401,611","396,857","399,265","399,889","392,714",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Japan,"27,501","26,769","26,986","27,036","26,588","26,140","26,214","26,132","25,971","25,926","26,323","26,291","26,226",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,"Korea, South","23,646","21,773","24,522","26,871","26,726","27,692","29,694","29,683","30,393","31,223","31,254","31,553","31,651",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Mexico,"25,538","25,994","26,457","27,320","27,089","27,130","27,763","28,371","29,093","30,387","31,366","32,325","33,495",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Russia,"47,543","48,683","52,103","54,871","56,018","59,140","63,842","67,488","72,453","76,524","80,949","83,055","83,055",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,Ukraine,"15,843","16,181","16,136","17,273","17,471","17,138","16,540","15,591","15,079","14,737","14,422","14,763","13,602",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,United Kingdom,0,0,0,0,0,0,"15,799","15,895","16,227","16,179","16,491","16,826","16,375",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,United States,"183,564","185,606","188,570","186,307","184,476","194,807","200,583","206,371","210,963","217,754","222,806","216,926","212,866",(1000 HEAD)
"Animal Numbers, Swine",Total Distribution,World,"2,007,362","2,011,872","2,057,730","2,074,793","2,089,322","2,071,261","2,039,288","2,058,163","2,052,876","1,800,669","1,823,223","2,009,296","2,049,376",(1000 HEAD)
"Meat, Swine",Beginning Stocks,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Canada,45,39,56,58,65,77,69,63,76,69,80,66,90,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,China,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,European Union,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Japan,217,218,216,214,195,246,200,211,222,208,263,245,219,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,"Korea, South",107,60,50,90,100,118,118,103,100,180,225,201,171,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
